Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
Which of the following does consumption rely on to provide goods and services:,Deciders,Owners,Producers,Consumers,C,"Producers. Producers are the people who make or provide goods and services. Consumption relies on producers to provide goods and services. The relationship between consumption and production needs to be balanced so that enough goods and services are produced to satisfy consumers' wants, but not so many that producers lose money. A consumer is anyone who uses goods and services. Owners have possession of their resources. Deciders make decisions. Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 6 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Economics,3,easy
One reason a country may have an ample supply of capital goods is because it is a leader in,world affairs.,electronics.,technology.,transfer payments.,C,"Technology. Technology is scientific applications to business objectives or the methods used to attain those objectives. Capital goods reflect the state of technology that exists in a society. Societies such as the United States, which is the leader in technology, generally have the most up-to-date capital goods. Electronics is one form of technology. The fact that a country is a leader in world affairs does not ensure its supply of capital goods. Transfer payments are payments made by the government for which no goods or services are received.",Economics,3,easy
Some energy companies offer free electricity at night and on weekends because during those times,supply and demand are equal.,the substitution effect occurs.,demand is greater than supply.,supply is greater than demand.,D,"Supply is greater than demand. When this situation exists, producers will lower their prices to sell excess supply. For example, since fewer customers use electricity at night and on weekends, energy companies waive the cost for evening and weekend energy usage to increase demand for their service. The substitution effect is a phenomenon that occurs when changes in relative prices cause buyers to replace the purchase of one product with another.",Economics,3,easy
Which of the following is an example of an uninsurable risk:,Business interruption,Customer buying habits,Fire,Personal injury,B,"Customer buying habits. Buying habits can change quickly and for many unpredictable reasons; therefore, insurance companies will not assume risk coverage. The other alternatives are considered insurable risks that can be covered by various types of insurance policies.",Economics,3,easy
Why are better trained and educated workers often more productive?,They are more likely to become managers.,They tend to have a higher gross domestic product per capita.,They are less likely to take vacation and sick days.,They tend to be more organized and able to manage their time wisely.,D,"They tend to be more organized and able to manage their time wisely. Better trained and educated workers are often more productive and efficient because they are more organized, better able to manage their time, more willing to adapt, and more creative. Being more likely to become a manager doesnâ€™t cause a person to be more productive. Nearly all employees take vacation and sick days at some point. Gross domestic product per capita is the average productivity of individual workers within an entire nation. It is not the measure of one specific personâ€™s productivity.",Economics,3,easy
What usually results when business operations and procedures are efficient and economical?,Consumers can buy quality products at competitive prices.,Consumer prices are raised to increase profits.,Monopolies can give all businesses a greater share of the market.,More equipment is needed to produce finished products.,A,"Consumers can buy quality products at competitive prices. Businesses that are socially responsible focus on ways to improve their operations so that they can meet the needs of consumers while minimizing their own costs. This also maximizes the company's profits so that raising prices may not be necessary. A monopoly exists when a market is controlled by one supplier, and there are no substitute products readily available. An efficient business would produce more products with the equipment it has, rather than having to buy more. Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 7 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Economics,3,medium
What activities do businesses need to perform to sell their goods and services to customers?,Directing,Accounting,Budgeting,Marketing,D,"Marketing. Marketing is a primary business activity that involves creating, communicating, and delivering value to customers and managing customer relationships in ways that benefit the organization and its stakeholders. Marketing activities are interrelated activities that must work together to get goods and services from producers to consumers. Effective marketing activities create a desire in consumers to purchase certain goods. Businesses perform marketing activities to encourage customers to want and to buy their specific goods and services. Budgeting involves estimating what income and expenses will be for a specific period of time. Accounting is the process of keeping and interpreting financial records. Directing is the management function of providing guidance to workers and work projects.",Economics,3,medium
Maureen becomes angry and defensive whenever her supervisor asks her to correct mistakes. Maureen's attitude is not a good response to criticism because,it prevents Maureen from hearing the criticism clearly.,Maureen has no right to be angry on the job.,there is no reason to be angry about criticism.,it indicates that Maureen wants to call attention to herself.,A,"It prevents Maureen from hearing the criticism clearly. Defensiveness raises a barrier between you and the speaker. Most of us feel angry or resentful when we are criticized, especially when the criticism is unjust. However, we cannot afford to exhibit this kind of attitude on the job. If Maureen listened with an open mind to the supervisor, she might learn not only how to correct her mistakes but how to avoid the mistakes in the future. Maureen's attitude indicates immaturity rather than a desire to call attention to herself.",Emotional Intelligence,3,easy
A business manager who wants to lead change in the company needs to be,forceful.,conservative.,emotional.,persuasive.,D,"Persuasive. Business managers who want to lead change in the company need to have certain characteristics to be effective. They should be persuasive, which means they have the ability to get people to see things their way, do things their way, or agree with them. Change doesn't just happen on its own. Change leaders need the involvement and help of many different people. Effective change leaders are able to persuade the right people to go along with them and help make the change happen. A manager who wants to lead change does not need to be emotional, forceful, or conservative.",Emotional Intelligence,3,easy
Companies that provide an orientation and training to new employees are most likely to help those employees,earn promotions.,deal with transition.,eliminate their fear.,improve personal relationships.,B,"Deal with transition. Employee orientations and training help new employees adjust to their new job and company environment. Orientation and training can help reduce fear about a new job but do not help eliminate it. Employees earn promotions by demonstrating superior work. Orientation and training are provided to train employees for work, not to improve personal relationships.",Emotional Intelligence,4,easy
"When you say what you think, you should remember to",try to use very little body language.,keep talking until others agree.,show respect for others' opinions.,keep your original ideas to yourself.,C,"Show respect for others' opinions. It is important to your assertiveness to be able to say what you think. However, others may not always agree with you, and it is important to be respectful of them. Sharing original ideas should not be avoided, because it makes a conversation interesting. Instead of continuing to talk until others agree with you, you should try to make sure everyone has equal time to express themselves. Using body language to reinforce your opinions is appropriate if it is not offensive to others. Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 8 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Emotional Intelligence,4,easy
Which of the following is a character trait that effective leaders usually possess:,Self-interest,Emotional intelligence,Domineering personality,Lifestyle,B,"Emotional intelligence. This is the ability to recognize and manage emotions in ourselves and in others. It's about being aware of our own emotions, responding to them appropriately, and then doing the same with the emotions of other people. The trait of emotional intelligence enables leaders to act in ways that are consistent with leadership activities. Self-interest is concern for what interests or profits oneself. A domineering personality involves individuals thinking they know more and are better than the average person. Lifestyle is not a character trait but the way in which people lead their daily lives.",Emotional Intelligence,4,easy
What is one basic characteristic of self-esteem?,"Saying ""no"" to things you really don't want to do",Caring about yourself and your personal life,Knowing and understanding what your own needs are,Doing something that makes you feel good,C,"Knowing and understanding what your own needs are. This one basic characteristic involves recognizing your own self-worth no matter what mistakes you have made. Saying ""no"" to things you really do not want to do, doing something that makes you feel good, and caring about yourself and your personal life are all ways to raise your self-esteem. Retrieved August 17, 2022, from https://www.dummies.com/article/body-mind-spirit/emotionalhealth-psychology/emotional-health/general-emotional-health/10-characteristics-of-people-with-highself-esteem-146267",Emotional Intelligence,4,easy
"Cara hasn't met Joan, but she doesn't want to work with her. Cara believes that because Joan is a blonde, she is probably ditzy and won't do her share of the work. What does Cara need to learn about herself?",Cara is open-minded and fair.,Cara tolerates others' faults.,Cara is a good judge of people.,Cara stereotypes other people.,D,"Cara stereotypes other people. A stereotype is a set image or an assumption about a person or thing. Stereotyping is believing that all the people in a particular group are alike or very similar. In this case, Cara believes that all blondes are ditzy and lazy. She is not a good judge of people, because her opinions of others are based on prejudice or bias. Stereotyping is often the result of a closed mind. It is unfair and creates problems for everyone because it makes people less tolerant of others. Stereotypes)",Emotional Intelligence,4,easy
"Julie has been warned by her supervisor that she may be fired if she continues coming to work late. After this warning, Julie began to arrive at work five minutes early. Julie is demonstrating a change in her __________ traits.",mental,emotional,personal,physical,C,"Personal. A personal trait is a personal characteristic expressed by a consistent pattern of behavior. Julie changed her regular pattern of behavior from unreliable to dependable. Physical traits include age, height, weight, build, or other physical characteristics. Mental traits involve intellectual abilities such as remembering, comprehending, analyzing, evaluating, and creating. Emotional traits involve attitudes, feelings, values, and so forth.",Emotional Intelligence,4,medium
Christie's coworkers know that she won't repeat what they tell her if they ask her not to do so. This indicates that Christie is a(n) __________ coworker.,trustworthy,tactful,straightforward,efficient,A,"Trustworthy. Being trustworthy means that people can rely on you to do what you say you will do. Trustworthy people will not tell anything they have been asked not to tell or pass along rumors that might not be true. An efficient person is one who performs in an effective, organized manner. A straightforward person is direct, open, and honest. A tactful person has the ability to do or say the right thing in any circumstances. Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 9 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Emotional Intelligence,4,easy
Which of the following is a characteristic of individuals who have self-confidence:,Realizing that mistakes are a part of personal growth,Exhibiting aggressive behavior when expressing opinions,Being overly concerned with what others think,Taking few risks because of a fear of doing something wrong,A,"Realizing that mistakes are a part of personal growth. Self-confidence is a positive belief in your own talents, skills, and objectives. Individuals with self-confidence are willing to accept, admit, and learn from their mistakes, and they are not afraid to take positive risks. Other characteristics of self-confident people are that they respect others' rights to differing opinions and can assertively communicate their beliefs, regardless of what others think. 31, 2022, from https://www.mindtools.com/selfconf.html",Emotional Intelligence,4,medium
Hannah attends a Greek festival in her town. She's showing cultural sensitivity by,building friendships.,communicating.,being flexible and patient.,educating herself.,D,"Educating herself. Hannah is showing cultural sensitivity by educating herself. Being flexible and patient, building friendships, and communicating are all important steps toward cultural sensitivity, but they are not illustrated in Hannah's example.",Emotional Intelligence,4,easy
"One woman has an expensive car, lives in a luxury apartment, and takes frequent vacations. Her friend has two small children and lives on a modest income. These factors account for the differences in the women's",personalities.,job positions.,educations.,lifestyles.,D,"Lifestyles. Lifestyle is the way in which people lead their daily lives. Factors that affect lifestyle include attitudes, interests, and preferred recreational activities. Personality is the combination of all of an individual's personal characteristics, or traits. Education is the amount of learning a person has acquired. Job position is a worker's assigned duties and the level of authority that goes with their job.",Emotional Intelligence,4,easy
Workers who must rely on each other to carry out their jobs would be described as __________ workers.,ineffective,self-sufficient,interdependent,efficient,C,Interdependent. Things and people are said to be interdependent if they must rely upon one another for some reason. Being self-sufficient means relying on one's self. Being efficient is doing things without wasted time or effort. An ineffective worker is one who has trouble carrying out their job responsibilities.,Emotional Intelligence,5,easy
"When providing feedback to a coachee, a good coach will be",creative.,tactful.,aggressive.,vague.,B,"Tactful. A coach is a person who enables others to reach their true potential by helping them overcome the barriers that are keeping them from doing so. An important aspect of effective coaching is providing feedback to the coachees. This involves letting the coachees know what they did right, what they did wrong, and how they can improve. Effective coaches do this by being tactfulâ€”by not being harsh or negative when they provide feedback. The feedback does not need to be creative, but it should be specific and encouraging. Providing feedback in an aggressive way would probably have a negative effect on the coachee, making them feel defensive. Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 10 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Emotional Intelligence,5,easy
What should you do if you realize that your vision no longer matches your ambitions?,Consult your significant other's vision.,Change or adjust your original vision.,Realign your ambitions with your vision.,Throw out your vision completely.,B,"Change or adjust your original vision. Just as you will change over time, so will your vision. If at any point you realize that your original vision needs adjustment, don't hesitate to make changes or switch directions entirely. You should not throw out your vision entirely, realign your ambitions with your vision, or consult someone else's visionâ€”their vision will not be any help to you.",Emotional Intelligence,5,easy
Which of the following is an example of an employee who is accepting responsibility for their actions:,"Pete informed the team leader that Brenda's carelessness, rather than his own, was the reason for the inconsistencies in the group's project report.",Cynthia admitted to her supervisor about the billing mistake that she made on the Andrew's account.,Larry decided that he would require Bob to make the decision so Bob would be blamed if something went wrong.,"Emily realized that she forgot to lock the warehouse door on the night that the equipment was stolen, and she didn't tell anyone.",B,"Cynthia admitted to her supervisor about the billing mistake that she made on the Andrew's account. When you are willing to accept the consequences (good and bad) of your behavior, which is based on the decisions you make, you are taking responsibility for your actions. Because Cynthia admitted that she had made a billing mistake, she is accepting the responsibility for her behavior. Taking responsibility for your actions often involves admitting and learning from your mistakes and trying to do better in the future. Emily was not being honest or accepting responsibility for leaving the door unlocked when she didn't tell her supervisor about her mistake. When you blame others for your actions, you are not accepting responsibility for your behavior, which is what Pete did when he complained about Brenda's carelessness in relation to the group's project report and what Larry did when he required Bob to make a decision. 2022, from https://www.thebalancecareers.com/mistakes-at-work-526244",Emotional Intelligence,5,easy
"Integrity, trust, and accountability are examples of",technical skills.,ethical situations.,ethical principles.,consequences.,C,"Ethical principles. Ethical principles, such as integrity, trust, and accountability, can help people make tough ethical decisions. Integrity, trust, and accountability are not examples of consequences, ethical situations, or technical skills.",Emotional Intelligence,5,easy
Communicating with others is a good way to demonstrate fairness because it,prevents bias from affecting decision-making.,promotes the equality approach to fairness.,allows you to ignore critical feedback.,allows everyone to have a fair chance to be heard.,D,"Allows everyone to have a fair chance to be heard. Communicating and listening actively and openly shows respect for everyone's ideas and gives everyone a chance to be heard. Communicating does not necessarily prevent bias from affecting decision-making or promote the equality approach to fairness. Finally, communicating should include listening to others' feedback, not ignoring it.",Emotional Intelligence,5,medium
"When a coworker is upset, Alexis tries to see things from their point of view. Alexis is demonstrating",empathy.,integrity.,honesty.,transparency.,A,"Empathy. Empathy is the ability to relate to the feelings, thoughts, and experiences of other people. You can show empathy by truly listening to others and respecting their needs. This means trying to see things from another person's point of view and acknowledging their feelings. People are more likely to trust you if they know that you care about them, not just your own interests. Transparency, honesty, and integrity are important qualities that trustworthy people possess, but Alexis does not demonstrate them in this example. Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 11 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Emotional Intelligence,5,easy
Which of the following is an example of an ethical dilemma that could take place in the workplace:,Ashley must tell her supervisor that she is resigning.,Carter decides to ask his manager for a raise.,A company allows employees to take breaks.,Two employees are involved in a romantic relationship.,D,"Two employees are involved in a romantic relationship. Ethical dilemmas happen on a daily basis in the workplace in many different ways. Leaders must navigate these tricky situations and figure out the most ethical course of action. One example includes appropriate relationships in the workplace. A company that allows people to take breaks, Carter deciding to ask his manager for a raise, and Ashley telling her supervisor that she is resigning are not ethical dilemmas in the workplace, because they do not necessarily involve deciding whether something is right or wrong.",Emotional Intelligence,5,easy
"To help people who are impacted by a change to the status quo, it is important to",demonstrate groupthink behavior.,celebrate the success of your plan.,show understanding for their loss.,implement the change quickly.,C,Show understanding for their loss. It's important to show understanding for any losses people may experience as a result of a change. Doing so helps them accept it. Groupthink occurs when bad decisions are made because the group's members fear expressing opinions or suggesting ideas that others may disagree with. Changing the status quo is a time-consuming process and is not done quickly. Celebrating the success of your plan will not help people who are impacted by it.,Emotional Intelligence,5,easy
Being respectful when considering conflicting viewpoints means,listening to your gut instead of facts.,avoiding people who are different from you.,not jumping to conclusions.,thinking about things subjectively.,C,"Not jumping to conclusions. Being respectful when considering conflicting viewpoints means avoiding jumping to conclusions or making assumptions before you've heard the entire viewpoint. It also means considering things objectively, not subjectively. To show respect when considering conflicting viewpoints, you should listen to the facts, not to your gut. Avoiding people who are different from you is not respectful.",Emotional Intelligence,5,hard
"The Barnes Company has just opened an account for a customer with a credit limit of $2,000 and an interest rate of 18%. This type of credit is a(n) __________ credit account.",installment,budget,regular,revolving,D,"Revolving. A revolving credit account limits the total amount of money that may be owed and charges interest on outstanding balances. An installment credit account is set up to handle one total amount of credit, which is to be paid off in regular installments. A regular credit account allows credit users to buy at any time during a set period. A budget account is a form of short-term credit often set up for 60- or 90-day periods.",Financial Analysis,6,medium
"Paper money like the U.S. dollar, the euro, and the Indian rupee is also called",discretionary income.,fiat money.,commodity money.,fiduciary wealth.,B,"Fiat money. Fiat money is a type of currency with no inherent value but receives value due to government backing. For example, a U.S. dollar has little value because it is paper, but it receives value because it is the legal currency of the issuing government. Commodity money has inherent value as a type of exchange, such as gold or silver. Fiduciary wealth is not a recognized type of currency and is not related to paper money. Discretionary income is money a person has to spend on wants after their needs are met. notes, etc.) https://quickonomics.com/different-types-of-money/ Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 12 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Financial Analysis,6,easy
Which of the following is one of the functions of money:,Method of investment,Process of accounting,System of inventory,Medium of exchange,D,"Medium of exchange. A medium of exchange is something of value that can be used to obtain goods and services. The most common form is money. Money is what individuals, businesses, and governments use to buy what they need and pay expenses. Money is not a system of inventory, a method of investment, or a process of accounting. https://www.cliffsnotes.com/study-guides/economics/money-and-banking/functions-of-money",Financial Analysis,6,easy
"If individuals are not self-employed, which of the following is a type of earned income they might receive:",Trust disbursements,Vacation pay,Child support income,Interest and dividends,B,"Vacation pay. If individuals receive paid vacation, they are being reimbursed for work done. Child support income is unearned because it is court ordered. Interest and dividends are unearned because an individual is not required to work for them. Trust disbursements also qualify as unearned income because no work is done to receive them. Retrieved August 31, 2022, from http://www.taxbraix.com/tax-articles/difference-between-earnedportfolio-passive-income.html",Financial Analysis,6,easy
"Margaret recently took out a personal loan from her local bank. In exchange for receiving the loan, Margaret agreed to pay an additional 6.9% of the original loan amount to the bank each year. 6.9% is Margaret's",compound value.,present value.,interest rate.,inflation rate.,C,"Interest rate. Interest is the amount charged by a lender to a borrower in exchange for a loan. Interest rates are expressed as percentages of the principalâ€”the original loan amount. In this situation, 6.9% represents Margaret's interest rate on her personal loan. It does not express the present value of her loan. Inflation rate refers to the rate at which the level of prices for goods and services is rising. Inflation rates are not expressed in this example. Compound value is not a term used to describe loan information. Retrieved August 18, 2022, from http://www.investopedia.com/terms/i/inflation.asp?lgl=no-infinite",Financial Analysis,6,easy
"Mark makes $52,000 a year. Looking at his pay stub, he sees he earned $1,000 this week and gets to take $800 of it home. The $1,000 Mark earned this week is his",gross income.,net income.,budget.,salary.,A,"Gross income. Gross income refers to the amount of money a person or business makes before taxes. In this scenario, Mark made $1,000 before any tax deductions were made. Net income is the money remaining after taxes are deducted from the gross income. In this case, Mark's net income is $800. Mark's salary, or the fixed amount of money he made in a year, is $52,000. A budget is an estimate of income and expense for a specific period of time. https://www.investopedia.com/terms/g/grossincome.asp Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 13 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Financial Analysis,6,easy
Individuals charging only the amount they can afford to pay in full every month is an example of,the wise use of credit.,saving money for the future.,making a cash transaction.,a way to avoid identity theft.,A,"The wise use of credit. Credit is the arrangement by which individuals can purchase now and pay later. Many individuals have credit cards because the cards allow them to pay for purchases without using cash. Then, they receive statements on a monthly basis indicating the amount due. If individuals charge only the amount they can afford to pay in full every month, they are using credit wisely. By paying in full, they avoid interest charges that may be high and significantly increase the cost of the purchases. Charging only the amount they can afford to pay in full every month will not necessarily help individuals save money for the future. Charging only the amount they can afford to pay in full every month is not a way to avoid identity theft or an example of making a cash transaction. Retrieved August 18, 2022, from https://www.experian.com/blogs/ask-experian/better-pay-off-creditcard-full-every-month-or-maintain-balance/",Financial Analysis,6,easy
"When checking a personal credit report for accuracy, you should",report suspicious activity immediately.,request multiple credit reports per year from each credit agency.,ignore accounts you don't remember opening.,only ask for a credit report from one of the major credit agencies.,A,"Report suspicious activity immediately. When analyzing your personal credit reports, you should identify and report suspicious activity immediately. One example of suspicious activity is the presence of credit accounts opened in your name that you don't remember opening, such as credit cards or loans. You should generally only request one credit report per major reporting agency per year, or else you may face a small drop in credit score and unnecessary fees. It's a good idea, however, to request a credit report from each of the major credit reporting agencies each year so that you can compare them. from https://www.experian.com/blogs/ask-experian/credit-education/report-basics/understandingyour-experian-credit-report/",Financial Analysis,6,easy
"To protect yourself against identity theft, you should",write down all of your important passwords on paper.,throw away credit card receipts in public trash cans.,maintain at least six different credit cards in your name.,avoid providing sensitive information via telephone.,D,"Avoid providing sensitive information via telephone. Unless you can verify the authenticity of the person you are speaking to, you should avoid providing personal information such as your credit card number, address, or social security number via telephone. You should never throw away your credit card receipts in public trash cans without shredding them first, since people could fish them out and access your information. It's unwise to open more credit cards than necessary. The more lines of credit you have, the more likely someone will be able to steal your information. It's also unwise to write down your important passwords on paper. Instead, you should try your best to memorize your important passwords. 2022, from https://www.comparitech.com/identity-theft-protection/",Financial Analysis,6,easy
Which of the following types of broker usually charges the highest commissions:,Online,Discount,Full-service,Stock,C,"Full-service. Full-service brokers usually charge the highest commissions because they provide in-house research and personalized investment guidance. Discount brokers have lower commissions, and online brokers often have even lower commissions than discount brokers. All of these types of brokers trade stocks. 18, 2022, from https://www.thebalance.com/choosing-a-broker-3140815 Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 14 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Financial Analysis,6,easy
Which of the following questions is most relevant when interviewing a potential financial advisor:,Do you have a partner?,Why did you decide to become a financial advisor?,What are your qualifications?,Did you go to a public or private university?,C,"What are your qualifications? When interviewing potential financial advisors, you should ask about the advisor's professional qualifications to determine if they have the right skills and abilities for your needs. Other relevant questions include: What experience do you have? What financial-planning services do you offer? What is your approach to financial planning? Knowing the financial planner's personal life and whether the individual has a partner is not relevant when determining whether they can meet your needs. Asking why someone decided to become a financial advisor may shed light on a person's motivations and passions but will not necessarily help you determine whether the individual is the best fit for you. https://money.usnews.com/investing/investing-101/articles/how-to-choose-a-financial-advisor",Financial Analysis,7,easy
Which of the following types of insurance do businesses frequently offer as part of their employee benefit plan:,Liability,Property,Health,Automobile,C,"Health. Many businesses offer health insurance as part of their employee benefit plan. Some businesses pay all of the premiums for their employees' coverage while others charge their employees a portion of the expense. Health insurance often is an important part of an employee's overall compensation package. Automobile, property, and liability insurance usually are the responsibility of the individual employee. https://www.thebalancecareers.com/types-of-employee-benefits-and-perks-2060433",Financial Analysis,7,medium
"Michael is a financial manager at his company. He needs to decide which project the company should invest in, so he estimates each potential project's value to the business. What process is Michael using?",The cash conversion cycle,Capital budgeting,Working capital management,Capital structure,B,"Capital budgeting. When Michael decides which project the company should invest in by estimating each potential project's value to the business, he's using capital budgeting. He is not engaging in working capital management, which focuses on the company's current balance of assets and liabilities. Capital structure refers to the â€œoptimal mixâ€ of financing (usually some combination of debt and equity). This is not what Michael is doing in the example. The cash conversion cycle is a ratio that refers to the number of days between a company's paying for raw materials and receiving cash from those raw materials. The cash conversion cycle is also not being used by Michael in the example.",Financial Analysis,7,easy
Which of the following is a common source of income during retirement:,Earned wages,Salary income,Pension plans,Student loan payments,C,"Pension plans. A pension is a retirement fund that has been paid into by an employee and/or an employer throughout the employee's working years. A pension plan outlines the system for paying employees after they have retired from the company. Pension plans are a common source of income in retirement. Salary income and earned wages are sources of income during an individual's working years, not during retirement. Student loan payments are an example of an expense, not a source of income. https://www.wellsfargo.com/goals-retirement-income/money-to-work/ Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 15 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Financial Analysis,7,easy
A manager is most likely to use financial information when,establishing lines of authority within an organization.,researching the demographics of a new target market.,determining resources available to fund a new project.,calculating the number of on-the-job injuries in the past year.,C,"Determining resources available to fund a new project. Managers use financial information on many occasions, including when planning strategies, executing strategies, and evaluating the execution of strategies. For example, a manager would use financial information to determine what financial resources are available to fund a new project that they are planning. To research the demographics of a new target market, information gathered through market research would be more useful. Financial information is not used to calculate the number of on-the-job injuries or to establish lines of authority within an organization.",Financial Analysis,7,easy
A human-resources manager is working with the company's payroll-processing service to have a new employee's paycheck directly deposited into the employee's checking account. What human-resources activity is the manager carrying out?,Organizing,Recruiting,Onboarding,Interviewing,C,"Onboarding. Human-resources management tasks that are performed when a new employee joins the company are onboarding activities. Onboarding activities include ensuring that the new employee completes the necessary tax and insurance forms and arranging direct paycheck deposit into the employee's bank account. Recruiting, interviewing, and organizing are not onboarding activities. Recruiting involves seeking out and attracting qualified employees. Interviewing is a recruiting activity that involves speaking with a job candidate to discuss their qualifications in detail. Organizing is the management function of setting up the way the business's work will be done.",Human Resources Management,7,easy
The overall objective of the marketing process is the coordination of the,supply chain and retail outlets.,pricing and promotion of goods and services.,merchandise inventory and advertising plans.,production and consumption of goods and services.,D,Production and consumption of goods and services. The marketing process is made up of activities that help link producers to consumers so that exchanges can take place. All of the other alternatives are aspects of the marketing process and strategy that help support the overall objective.,Marketing,7,easy
Which of the following is a benefit that businesses receive from using the internet:,The ability to call employees on the road,Easier use of satellite radio,Improved methods of manufacturing,Faster connections with suppliers,D,"Faster connections with suppliers. The internet gives businesses faster and easier ways to communicate with both customers and suppliersâ€”through email, chat, video conferencing, etc. It does not necessarily provide improved methods of manufacturing. Use of satellite radio is the result of satellite technology, not the internet. The ability to call employees on the road is the result of cell phone technology.",Information Management,7,easy
"Joseph received an email message from his supervisor and wants to send it to his coworker, Jackie. What email function key would Joseph use to send the message to Jackie?",Edit,New,Reply,Forward,D,"Forward. By clicking the forward button, the message recipient can send the message to another person. The reply key allows the recipient to respond to the sender's message. The edit function allows changes to be made to an email message. The new key allows the sender to create an email message. https://support.microsoft.com/en-us/office/reply-to-or-forward-an-email-message-a843f8d3-01b048da-96f5-a71f70d0d7c8 Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 16 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Information Management,7,easy
"If your supervisor asks you to find information on Coca-Cola's current market share for cola in the United States, the best and most precise wording to use when trying to narrow down the internet search on most search engines would be",Coca-Cola AND current market share AND cola AND United States.,Coca-Cola AND/OR market share.,Coca-Cola OR current market share OR cola OR United States.,Coca-Cola OR current market share OR cola AND United States.,A,"Coca-Cola AND current market share AND cola AND United States. Search engines need to be given directions using exact wording. Using ""AND"" links all of the required information together and gives a more productive search. The more exact the wording, the more narrow the responses returned, and the less time wasted on unrelated responses. Using ""OR"" as the logical operator will tell the search engine to return information on individual topics instead of responses that include all four topics. The ""AND/OR"" could return responses on either Coca-Cola or market share. It could also give you Coca-Cola market share, but it might not; or it might be for a country other than the United States. The ""Coca-Cola OR current market share OR cola AND United States"" could return responses for other companies, other industries, or information on cola in the United States, but not the specific information needed. https://support.google.com/websearch/answer/134479?hl=en",Information Management,7,medium
"You're using PowerPoint to help you give a presentation at an upcoming meeting. You want to make the presentation as effective as possible, so which of the following should you do:",Put as many points as possible on each slide.,Use complete sentences and paragraphs on your slides.,Use sound effects to keep people's attention.,Keep the design of your slides consistent.,D,"Keep the design of your slides consistent. If you change the design of each slide, it may be difficult for people to focus on what you're saying. By keeping the design consistent, you'll keep the focus on the information you're presenting. There should be minimal text on slides and certainly not full paragraphs. People should be listening to you, not simply reading your slides. Sound effects can be distracting and unprofessional, so it's best to avoid them. https://edu.gcfglobal.org/en/powerpoint/",Information Management,8,medium
"When posting a new page to an existing website, the new page should be linked to the",personal computer.,pop-up ads.,home page.,online catalog.,C,"Home page. Most business websites are designed using a hierarchical system. The home page is at the top of the hierarchyâ€”it is the starting point from which all other pages on the website are connected and accessed. Therefore, it is important that the new page be linked to the home page so web surfers can navigate to the new page using their personal computers. Pop-up ads are promotional messages that appear in a separate browser window. The new page does not need to be linked to a pop-up ad. A business may or may not include an online catalog on its website. If the new page is related to the online catalog, it should be linked to the catalog, which should be linked to the home page in the navigation scheme. http://www.wisegeek.com/what-is-a-home-page.htm",Information Management,8,easy
"To complete a report about commercial loans, Lola needs to review a specific online article called ""The Truth About Commercial Interest Rate Increases."" Which of the following search entries will provide Lola the most accurate results:","""the truth about commercial interest rate increases""",truth_ commercial interest rate_ increases},â€œ-the_truth_about_commercial_interest_rate_increases-}â€,[-the -truth -about -commercial- interest -rate -increases],A,"""The truth about commercial interest rate increases."" When you place quotes around a phrase or title in the search field, the search engine will show results only for those websites containing that exact phrase/title. Placing a minus sign (hyphen) in front of the word means that you do not want the word included in the search. Placing an underscore between words and brackets around the phrase is less likely to retrieve the exact results desired. https://support.google.com/websearch/answer/2466433?hl=en Test 1270 BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 17 Copyright Â© 2023 by MBA Research and Curriculum CenterÂ®, Columbus, Ohio",Information Management,8,medium
