Question,A,B,C,D,Correct,Explanation,HosPricingtality,Assessment,Difficulty
"Reece works for a hotel, and many of his customers are business travelers. When he learns that a customer is traveling for work, he automatically shows them where the hotel's business center is. Reece is",using secondary marketing data.,making unfair judgments.,anticipating unspoken customer needs.,using an aggressive selling tactic.,C,"Anticipating unspoken customer needs. A great way to provide excellent customer service is to anticipate what a customer needs before they even say so. Looking for patterns in customer buying habits can help employees anticipate customer needs. Reece knows that business travelers tend to need access to printing, scanning, and photocopying, so he can anticipate that need before the customer says anything. Reece is not making unfair judgments, using secondary marketing data, or using an aggressive selling tactic. September 17, 2021, from https://quiq.com/blog/how-anticipating-customer-needs-canimprove-customer-service/",Customer Relations,2,easy
"A restaurant has been extremely busy, but it does not have room in the budget to hire more staff to keep up with demand. What is one strategy the restaurant could take to keep customers happy during peaks in demand?",Only accept customers who have a reservation,Add a consumer-participation option such as a salad bar,Offer discounts for customers to come back another time,Expand the restaurant to accommodate more tables,B,"Add a consumer-participation option such as a salad bar. One way that restaurants can manage high demand without hiring staff is by including a consumer-participation option such as a salad bar. This eliminates time spent on preparing and serving salads, as well as keeping customers busy. Only accepting customers who have a reservation might not help, because the restaurant will still be busy without enough staff to handle demand. Offering discounts for customers to come back another time is a strategy to shift demand, not necessarily to manage customer experience during peaks in demand. Expanding the restaurant to accommodate more tables is a strategy to be able to handle more customers, but it does not solve the issue if the restaurant cannot hire more staff. September 17, 2021, from https://www.investopedia.com/ask/answers/040815/demand-orsupply-more-important-economy.asp",Customer Relations,2,medium
"Servers at the Mountain Top Cafe often seat customers as well as wait on tables. Unfortunately, the servers are often so busy that they aren't very welcoming or friendly to diners wanting to be seated. Which of the following would help servers focus on their responsibilities as waitstaff while also maintaining high service standards:",Display a menu outside so diners can be self-informed,Allow guests to seat themselves where they prefer,Hire a host/hostess to greet and seat the diners instead,Ask servers to tell customers they don't have time to chat,C,"Hire a host/hostess to greet and seat the diners instead. Rather than expecting the servers to do what are essentially two different jobs, waiting on tables as well as acting as hosts or hostesses, the restaurant should hire a host/hostess instead. The host or hostess could greet diners, interact with them, seat them, and share information about menu specials. Allowing guests to seat themselves does not meet high service standards and can cause confusion among waitstaff. Displaying a menu outside does not eliminate the need to interact with customers. Telling customers there's no time to chat creates a rude and unwelcoming atmosphere that does not achieve high service standards. 2021, from https://smallbusiness.chron.com/restaurant-service-procedures-58941.html",Customer Relations,2,medium
"Hailey runs the social media accounts for a restaurant. When she sees a post complaining about the restaurant's service, what should she do?",Reply to the post promptly with an apology and a promise to improve,Ignore the post so that it will not gain any more attention,Post a reply denying the accuracy of the customer's complaint,Flag the post as inappropriate so it will be taken down,A,"Reply to the post promptly with an apology and a promise to improve. When customers complain about a brand on social media, it is important to address them, as ignoring them makes it appear that the company does not care about its customers. After a customer has posted about a less-than-satisfactory experience, Hailey should try to appease that customer to repair the relationship and show that the restaurant is improving upon its flaws. Ignoring the post, denying the customer's complaint, or flagging the post as inappropriate will not improve relationships with customers and will make the restaurant appear unsympathetic and/or dishonest. September 17, 2021, from https://www.brightlocal.com/blog/how-to-respond-to-negativereviews/",Customer Relations,2,medium
Opening a restaurant in New York City is more expensive than doing so in a small town in Upstate New York. This is a result of limited,capital goods.,human resources.,natural resources.,consumer goods.,C,"Natural resources. In a highly populated area like New York City, land is more limited than in a small town, so people are willing to pay more to use the land. In a small town, the land is less limited, so it is less expensive. Human resources, capital goods, and consumer goods are not necessarily more or less limited in either New York City or a small town.",Economics,2,easy
Which of the following is a benefit of using the functional organizational structure:,It encourages creativity.,It reduces the duplication of certain activities. D. It creates narrow perspectives for managers.,It's more flexible than other structures.,,B,"It reduces the duplication of certain activities. An advantage of using the functional organizational structure is that it reduces the duplication of certain activities. The organization has just one department creating advertising campaigns, one department balancing the company budget, one department fielding customer complaints, etc. The functional structure does not encourage creativity as the divisional structure does. It is less flexible than other structures. Its inflexibility and creation of narrow perspectives for managers are disadvantages of the functional structure, not benefits.",Economics,2,medium
One of the primary ways in which hospitality and tourism contribute to economic growth is through,the use of global positioning systems.,the use of sustainable resources.,conference space.,visitor exports.,D,"Visitor exports. When travelers journey to a foreign country, the money that they spend there is categorized as visitor exports. Visitor exports include purchases that foreign travelers make from hospitality and tourism businesses as well as those that they make from businesses outside the hospitality and tourism industry. Although hospitality and tourism businesses are encouraged to use sustainable resources, their use does not contribute to economic growth. Provision of conference space is a first step in getting groups to visit an area, but conference spaces do not in and of themselves create economic growth. Global positioning systems help determine how to get to and from locations. They do not impact economic growth. Retrieved September 17, 2021, from https://globaledge.msu.edu/blog/post/55748/theimportance-of-tourism-on-economies-a",Economics,2,medium
The two main sources of revenue used to pay the costs of government regulation are,taxpayers and nontaxpayers.,taxes and borrowing.,business and labor.,government and industry.,B,"Taxes and borrowing. Government collects taxes from taxpayers to pay the costs of regulating business and providing services. The taxes collected are not sufficient to cover government expenses. This makes government borrowing necessary. Nontaxpayers don't provide money to government. Business, labor, and industry are types of taxpayers.",Economics,2,medium
Consumer spending tends to decrease when,an economic recession ends.,interest rates decrease.,business activities slow.,the inflation rate declines.,C,"Business activities slow. When business activities slow, businesses produce fewer goods and services. A decline in production often leads to facility closings and employee layoffs. When people are unemployed, they are not earning an income, so consumer spending tends to decrease. When business activities decline over several months, it typically indicates the beginning of an economic recession. Businesses are more likely to expand when interest rates decrease because it is less expensive to obtain loans. When the inflation rate stabilizes, the prices of goods and services are not increasing as quickly, which may boost consumer spending. Retrieved September 20, 2021, from https://www.thebalance.com/consumer-spendingdefinition-and-determinants-3305917",Economics,3,easy
"The use of technology such as video conferencing, virtual events, and email allows a business to",improve the richness of conversation.,develop diverse teams.,reduce privacy concerns.,avoid all face-to-face interactions.,B,"Develop diverse teams. Electronic communication tools have increased businesses' ability to work with a wide range of people from across the globe. Diverse groups of people can come together to provide broader perspectives. Technology does not necessarily improve the richness of conversation, because face-to-face conversation is still the richest form of communication. Technology also increases privacy concerns, rather than reducing them, as people use electronic means to share information. Finally, the use of technology does not mean that businesses can avoid all face-to-face interactions, because they are still important to building business relationships. computer-conferencing, webcasts, email) on global business activities collaboration. Retrieved September 20, 2021, from https://work.chron.com/importanceelectronic-communication-workplace-collaboration-4081.html",Economics,3,medium
"When assessing your personal strengths and weaknesses, it's very important to",be as hard on yourself as possible.,compare yourself to other people.,get input from other people.,try to hide your weaknesses.,C,"Get input from other people. While self-assessment implies working alone, it can actually be very helpful to get another opinion. Others can point out strengths and weaknesses you might not have known about. You don't want to compare yourself to othersâ€”self-examination isn't a competition. Everyone has different strengths and weaknesses. Try not to be too hard on yourself. While recognizing weaknesses is important, obsessing over them isn't helpful. You also shouldn't hide weaknessesâ€”everyone has areas that need improvement. Your assessment will only be successful if you're completely honest about your strengths and weaknesses.",Emotional Intelligence,3,easy
"Miranda, the manager of a large resort, was approached by Mr. Wilson, a guest who was upset about a leaky faucet in his room. After listening to Mr. Wilson's complaint, Miranda said, ""Mr. Wilson, I don't blame you for being annoyed. A leaky faucet would bother me, too. We will have a member of our maintenance staff take a look at the problem right away."" In this situation, Miranda was exhibiting",personal vision.,passive listening.,cultural sensitivity.,empathetic behavior.,D,"Empathetic behavior. Successful hotel managers should be able to effectively communicate with guests, staff, and vendors. An important aspect of effective communication is exhibiting empathy, which is the ability to relate to the feelings, thoughts, and experiences of other people. In other words, empathy is the ability to put yourself in another person's place. In the example, Miranda put herself in Mr. Wilson's place by telling him that a leaky faucet would bother her, too. She expressed that she could relate to Mr. Wilson's feelings. Miranda was being empathetic. Because Miranda was able to respond to Mr. Wilson's problem, she was actively listening rather than passively listening. The situation does not provide enough information to determine if Miranda was exhibiting cultural sensitivity. Personal vision is the future that you desire to create for yourself. 17, 2021, from https://www.inc.com/melody-wilding/7-habits-of-highly-empathetic-people.html",Emotional Intelligence,3,medium
Honesty is not just telling the truth. It also includes,not leaving out any facts.,hiding unethical actions.,trusting others.,showing loyalty.,A,"Not leaving out any facts. Honesty includes telling the whole truth and not withholding any information. When being honest, you should not leave out any facts. Honesty does not include hiding unethical actions. While trusting others and showing loyalty are important traits, they are not part of honesty itself.",Emotional Intelligence,3,easy
Critical-thinking skills allow you to,show respect for other people.,remain committed to tasks even when it's difficult.,restrain your emotions and actions appropriately.,make reasonable judgments about people and situations.,D,"Make reasonable judgments about people and situations. Critical-thinking skills are thought processes (e.g., analysis, assessment) that allow people to make sound judgments about people, ideas, situations, etc. Critical-thinking skills are important for taking responsibility for decisions and actions. Remaining committed to tasks even when it's difficult is self-discipline. Restraining emotions and actions appropriately is self-control. Critical-thinking skills don't necessarily allow someone to show respect for other people.",Emotional Intelligence,3,easy
Aiden communicates openly and honestly with his friends because he is,generous.,consistent.,encouraging.,transparent.,D,"Transparent. Transparency means being truthful when you communicate. It involves communicating openly and honestly with everyone, whether you're at work, at school, or at home. Transparency also involves speaking up about your feelings, even when it's difficult or not necessarily in your best interest. Aiden may be consistent, encouraging, and generous, but those traits are not illustrated in this example.",Emotional Intelligence,3,easy
Which of the following is an example of two individuals working in a collaborative manner:,Lily and Marie combine their skills to create a new window display.,Shelly informs Dustin that she needs new software installed.,Joe asks Amy to create some PowerPoint slides based on his notes.,Cody tells Chelsea that she needs to complete her reports on time.,A,"Lily and Marie combine their skills to create a new window display. Typically, two people working together to perform and accomplish a task are working collaboratively. People making requests or telling others what they need to accomplish are not examples of people working in a collaborative way.",Emotional Intelligence,3,medium
Adaptable people commit to their goals and never give up because they have,persistence.,attentiveness.,positivity.,a sense of humor.,A,"Persistence. Adaptable people never give up. They commit to their goals, and they're willing to achieve them in any way possible. Attentiveness, positivity, and a sense of humor are all characteristics of adaptable people, but they aren't demonstrated in this example.",Emotional Intelligence,3,easy
Which of the following is an example of a long-term consequence:,Failing a homework assignment,Losing your level of physical fitness,Arguing with your sibling,Spilling a tray of food at work,B,"Losing your level of physical fitness. Losing your level of physical fitness is an example of a long-term consequence. It won't happen overnight, but it will happen if you eat unhealthy foods and neglect exercise. Failing a homework assignment, arguing with your sibling, and spilling a tray of food at work are all examples of consequences that are short term. on Others)",Emotional Intelligence,3,easy
Which of the following activities helps employees build positive political relationships within the workplace:,Getting to know the organization's key managers,Avoiding coworkers who are difficult to work with,Expressing personal opinions whenever possible,Making others feel that their work is unimportant,A,"Getting to know the organization's key managers. If an employee has the ability to influence other workers' opinions or actions within the company, the employee is fostering political relationships. Building positive political relationships in the workplace begins by showing a sincere interest in the company, employees, and managers and by recognizing their importance to the organization. An honest, dependable employee who is willing to network and work with othersâ€”including difficult coworkersâ€”can facilitate a positive working environment, which helps the employee gain a positive reputation. This, in turn, helps the employee use their reputation to influence organizational decision-making. A wise ""political player"" does not express personal opinions whenever possible. To do so may offend important people within the organization. 22, 2021, from https://www.wsj.com/articles/how-to-build-meaningful-workplacerelationships-11605294163",Emotional Intelligence,4,medium
"Mikael has a $20 bill. Although this money is just a piece of paper and not backed up by a reserve, Mikael is still able to buy groceries with it because everyone in his country treats it as currency. This $20 bill is known as __________ currency.",commodity,electronic,fiat,specie,C,"Fiat. Fiat currency is money that doesn't have intrinsic value and is not backed by reserves. Fiat currency is only valuable as long as people have faith that it will continue to be used in the future. Electronic currency is money that exists only in electronic format. Commodity money is currency that is has value other than its value as money (for example, gold or silver). Mikael's $20 bill is just made of paper, which is essentially worthless on its own, so it is not commodity money. Specie is a term used for coins, and Mikael is using paper money. treasury notes, etc.) https://www.investopedia.com/terms/f/fiatmoney.asp",Financial Analysis,4,easy
People who are saving for retirement are advised to save enough money to account for inflation because dollars used in the future will have,lower exchange rates.,higher spending power.,less spending power.,higher exchange rates.,C,"Less spending power. The time value of money is the concept that dollars received in the future will be worth less than a dollar received today because of the impact of inflation. Exchange rates rise and fall and refer to the transfer of one currency into another. 2021, from https://www.investopedia.com/terms/t/timevalueofmoney.asp",Financial Analysis,4,easy
"Brandon is developing a financial plan, and one of his goals is to save enough money to buy a new car in two years. Has Brandon set a SMART goal?","No, his goal is not attainable or results-oriented.","No, his goal is not specific or measurable.","Yes, his goal is time-bounded and measurable.","Yes, his goal is attainable and specific.",B,"No, his goal is not specific or measurable. A financial goal is a short- or long-term objective that is measured in terms of money. Effective financial goals are SMART goalsâ€”specific, measurable, attainable, results-oriented, and time-bounded. The goal is time-bounded because Brandon wants to save money to buy a car two years from now. It is results-oriented because Brandon will have something to show for his effort in two yearsâ€”a car. However, the goal is not specific or measurable, because Brandon has not indicated how much he wants to save for the car. Also, Brandon has not indicated how he plans to save for the car, such as placing 15% of his weekly paycheck in a special savings account. There is not enough information to determine if the goal is attainable, because it is not specific. September 20, 2021, from https://www.smartsheet.com/blog/essential-guide-writing-smartgoals",Financial Analysis,4,easy
"Rosie is in the process of choosing a financial services provider, but she has so many options that she feels overwhelmed. What is the first step she should take?",Ask the financial services provider how much they charge,Ask the financial services provider for references,"Ask herself, â€œWhat kinds of financial services do I want?â€",Find out what licenses the financial services provider holds,C,"Ask herself, ""What kinds of financial services do I want?"" The first thing Rosie should do when selecting a financial services provider is ask herself what kinds of financial services she wants. This will help her narrow down her focus. When she has an idea of what she wants out of a financial services provider, she can ask about references, charges, and licenses. Retrieved September 20, 2021, from https://www.nerdwallet.com/article/investing/how-tochoose-a-financial-advisor",Financial Analysis,4,easy
"Sheila decides to invest some of her money. She doesn't like to take big risks, and she wants to be able to access all of her money at all times. She also doesn't mind not earning much interest. Sheila should invest her money in a",certificate of deposit (CD).,stock.,savings account.,money market account (MMA).,C,"Savings account. If Sheila doesn't like to take risks, wants to access all of her money at all times, and doesn't mind earning very little interest, she should consider a savings account. You're always able to access your money, but you receive a low return. A stock is much riskier than a savings accountâ€”you actually own part of the company, so you have the rights and responsibilities that go along with ownership. This means you can make a big profit, but you can also lose a large amount of money if the stock decreases in value or if the company goes out of business. While a certificate of deposit (CD) doesn't have a high risk, you aren't able to access your money at all for a set period of time. A money market account (MMA) is low risk, but you are only able to access some of your money each month, and you usually have to keep a certain amount of money in your account.",Financial Analysis,4,easy
Which of the following is an internal procedure that many businesses use to control cash:,Track dividends paid to owners,Monitor intangible assets,Give receipts to all customers,Evaluate projected budgets,C,"Give receipts to all customers. Most businesses use a variety of procedures to control cash. One of these is to train employees how to use the cash register and require that they ring up each sale on the register and give receipts to all customers. When an employee rings up a sale, the register automatically records the sale and prints a customer receipt. This procedure helps control cash because it reduces the possibility of employees accepting payment from customers without recording the sale and issuing a receipt. Monitoring intangible assets, tracking dividends paid to owners, and evaluating projected budgets are not internal procedures that many businesses use to control cash. controls, cash clearing, etc.) September 17, 2021, from https://work.chron.com/internal-control-procedures-receipt-cash6735.html",Financial Analysis,4,easy
"A restaurant has $8,550.00 in credit card sales for 135 credit card transactions. The following fees are charged for each credit card transaction: $1.27 to the issuing bank, $0.10 to the card association, $0.22 to the acquiring bank, and $0.20 to payment gateway. What percentage of total credit card sales goes toward fees?",3%,2%,1.50%,3.50%,A,"3%. Credit card processing is not free. Instead, businesses typically must pay a specific portion or percentage of its credit card revenue to several different organizations, including the issuing bank, card association, acquiring bank, and payment gateway. To determine what percentage of total credit card sales goes toward fees, first total the amount of fees charged for each transaction ($1.27 + 0.10 + 0.22 + 0.20 = $1.79). Then, calculate the total amount of credit card fees paid by multiplying the cost for each transaction by the number of credit card transactions ($1.79 X 135 = $241.65). Finally, calculate the percentage of total credit card sales that goes toward fees by dividing the total credit card fees by the total credit card sales ($241.65 / $8,550.00 = 0.03 = 3%). https://merchants.fiserv.com/en-us/resources/credit-card-processing/",Financial Analysis,4,hard
What can happen when employees do not respect one another's lifestyles?,An uncomfortable work environment,Language barriers,Generational misunderstandings,An increase in productivity,A,"An uncomfortable work environment. Sometimes, employees do not respect each other's lifestyles and discriminate against each other because of them. When this occurs, employees might experience an uncomfortable work environment. This can damage productivity. Language barriers are a result of ethnic or cultural differences rather than differences in lifestyles. Generational misunderstandings are not a result of disrespecting lifestyle choices. religious, gender) from https://smallbusiness.chron.com/top-10-diversity-issues-work-24939.html",Human Resources Management,4,easy
Communities of practice benefit businesses by,reducing the need for knowledge in decision-making.,adding value to an individual's professional life.,decreasing the learning curve for new employees.,increasing employee turnover rates.,C,"Decreasing the learning curve for new employees. A community of practice is a group of people who share interest in a subject and meet regularly to improve in that subject area. In the workplace, a community of practice can provide knowledge to new employees so that they can quickly become acclimated to a new position. Communities of practice also add value to professional lives, but this is an individual benefit rather than a benefit for businesses. Communities of practice encourage strategic decision-making that is informed by knowledge, rather than reducing it. Finally, communities of practice increase employee retention, decreasing turnover. organization September 17, 2021, from https://luis-goncalves.com/communities-of-practice/",Knowledge Management,4,medium
"Natalie searched for 45 minutes to locate an important file folder, which she found under a pile of papers in an unmarked box that was stored under her desk. What action did Natalie fail to take that would have increased her efficiency and saved the company money?",Staying on task,Staying organized,Using supplies wisely,Observing safety standards,B,"Staying organized. Employees can help their employers reach their objectives by working efficiently. To work efficiently, employees should be organized and have a system for keeping track of their work and supplies. Because Natalie's workspace was not organized, she spent a lot of time looking for a file instead of working on something more productive. There is not enough information provided to determine if Natalie has problems staying on task, using supplies wisely, or observing safety standards.",Marketing,5,easy
What type of market segmentation would be appropriate to use when a hotel targets people who are traveling with their pets?,Behavioralâ€”benefits sought,Psychographicâ€”social class,Demographicâ€”gender,Mass market,A,"Behavioralâ€”benefits sought. A market consists of buyers who differ in one or more ways. By identifying those differences, hospitality and tourism businesses can tailor their marketing efforts to appeal to specific groups. With behavioral segmentation, people are grouped together on the basis of their knowledge, attitude, and use for/response to a product. In this scenario, the group is travelers who have pets with them. This form of behavioral segmentation is based on the product benefits that the group wantsâ€”lodging that accepts pets. Psychographic segmentation based on social class divides people into different social classes. Demographic segmentation divides people into groups based on certain variables such as age, gender, race, religion, educational level, or income level. Use of a mass market approach would indicate that the hotel will not be differentiating among its guests and will be using the same marketing strategies with all guests. effectiveness. Retrieved September 17, 2021, from https://blog.alexa.com/behavioralsegmentation/",Market Planning,5,medium
Managing information for business continuity is important in case of,high employee turnover.,a disaster.,low sales volume.,a drop in stock price.,B,"A disaster. Managing information for business continuity is important in case of a disaster. A disaster might be man-made, such as a building fire, or it might be an act of nature, such as a tornado or a flood. No matter what, though, companies must ensure that business can still run smoothly and that employees can still access the information they need. High employee turnover, low sales volume, and a drop in stock price are not occurrences that would disrupt information management.",Information Management,5,medium
What technique can help businesses reduce risks associated with software piracy and unauthorized peer-to-peer file sharing via the internet?,Rerouting,Virtualization,Encryption,Multicasting,C,"Encryption. Software piracy and unauthorized file sharing (e.g., of music) are costly to producers. To protect their ownership rights, these businesses often use encryption techniques to minimize these types of issues. Encryption is the process of transforming information into a secret code so that only the recipient can read it. If the recipient tries to pass along the information to others, the others will not be able to access the information. Virtualization involves running multiple operating systems on one machine. Multicasting transmits streaming media to multiple users simultaneously. Rerouting means to changing course or direction. Complying with the safeguards rule. Retrieved September 20, 2021, from https://www.ftc.gov/tips-advice/business-center/guidance/financial-institutions-customerinformation-complying",Information Management,5,medium
Which of these lodging services would most likely be automated using software:,Sales forecasting,Concierge,Room setup,Registration,D,"Registration. Software best handles routine tasks such as registration. Registration can be handled online, over the phone, or in person. All registrations go into a software program. This makes it easy to analyze sales and marketing data. Concierge and room setup services are performed by humans. Sales forecasting is not a lodging service. https://www.capterra.com/reservations-software/",Information Management,5,easy
A marketing researcher classifies elements of a database into several groups that possess similar variables. What method is the researcher using to analyze information?,Cluster,Fragment,Semivariance,Semi-structured,A,"Cluster. The objective of cluster analysis is to classify or group data such as customers or products. Once grouped, the researcher can use the data about customers or products to gain insight regarding target markets. Fragment and semivariance are not terms used to describe marketing-information evaluation methods. Semi-structured is a term used to describe a type of question used in surveys. 2021, from https://www.optimove.com/resources/learning-center/customer-segmentation-viacluster-analysis",Information Management,5,hard
Which of the following is an example of a demographic trend:,Rising interest rates,Shifting political climates,The aging of the population,A concern for fitness and health,C,The aging of the population. The aging of the population is a demographic trend since it refers to demographic data (age). Shifting political climates is a governmental or political trend. Rising interest rates is an economic trend. A concern for fitness and health is a social/cultural attitude.,Information Management,5,easy
A primary reason for a business to interpret statistical findings is to,increase production.,promote creativity.,aid decision-making.,influence buyers.,C,"Aid decision-making. Statistics are information presented in numerical form. For the statistics to be useful, businesses must analyze and interpret them. Businesses often base business decisions on statistical information. For example, a business may obtain statistical information that indicates a product is not selling well. Based on the statistical information, the business may decide to phase out or stop making the product. Or, if statistical information indicates that the demand for the product exceeds the available supply of the product, the business may decide to increase production. Businesses use promotional activities to influence people to buy their products. Although analyzing statistical information might spark an employee's creativity (e.g., for problem-solving purposes), promoting creativity is not a primary reason for interpreting statistical findings. 20, 2021, from https://smallbusiness.chron.com/advantages-statistics-business-18698.html",Information Management,5,easy
An airline executive wants to know why sales are dropping. They are most likely to need to conduct primary research if,the airline has little money for research.,no one on their team has the information they need.,they have already exhausted their secondary research options.,they have not conducted secondary research yet.,C,"They have already exhausted their secondary research options. Primary research is that which a person or company generates on their own for their exact needs and purposes. Primary research is generally done when the needed information does not exist yet. Therefore, the airline executive should first do an exhaustive search of secondary sources before deciding to conduct primary research. Even if no one on the executive's team has the information they need, the executive still might not need to conduct primary research because they might be able to use secondary research. If the airline has little money for research, the executive might be better off focusing on secondary research because it is cheaper than primary research. secondary research. Retrieved September 17, 2021, from https://www.alchemer.com/resources/blog/research-methods-how-and-when-to-use-primaryand-secondary-research/",Information Management,5,easy
Which of the following types of hospitality and tourism information is most likely to be found in an online database:,Customer reviews for a specific hotel,Industry market trends,Competitors' sales data,A restaurant's customer demographics,B,"Industry market trends. Online databases are sources of scholarly research such as journal and news articles related to a particular topicâ€”in this case, hospitality and tourism. In an online database, you might find information such as industry market trends. Customer reviews for a specific hotel, competitors' sales data, and a restaurant's customer demographics might be found online but would not necessarily be found in an online database. online databases, blogs, forums, listservs, web analytics, social media, geolocation services) https://www.ebsco.com/products/research-databases/hospitality-tourism-index",Information Management,5,medium
"A resort recently added a state-of-the-art gym, healthy dining options, and an on-staff personal trainer. These actions are examples of",dealing with economic impact.,responding to guests' lifestyle trends.,avoiding regulatory penalties.,becoming a globalized business.,B,"Responding to guests' lifestyle trends. Lifestyle trends are changes in the way people live their lives. One example of a lifestyle trend is fitness and health. Hospitality businesses should track and respond to lifestyle trends, such as the resort adding a state-of-the-art gym, healthy dining, and a personal trainer. This example is not related to economic impact, regulatory penalties, or becoming a globalized business. changes, guest trends, economic changes, regulatory changes) https://courses.lumenlearning.com/wm-retailmanagement/chapter/consumer-lifestyle-factors/",Information Management,6,easy
Which of the following pieces of data would be most helpful to a restaurant that wants to increase sales:,Twenty percent of customers pay with cash instead of credit cards.,Customers with reservations spend 25% more than other customers.,Customers with reservations tip waitstaff 8% more than other customers do.,Thirty percent of customers dining with small children order split plates.,B,"Customers with reservations spend 25% more than other customers. Understanding the relationship between making reservations and spending can help a restaurant focus its sales and promotional efforts on dinner reservations in order to increase sales. Since the tipping of waitstaff, split plates, and payment methods do not increase sales, these data are less helpful. profits. Retrieved September 17, 2021, from https://restaurant.eatapp.co/blog/restaurantdata-and-analytics-increase-revenue",Information Management,6,easy
Which of the following is an example of a way that a company can use descriptive statistics to make business decisions:,A hotel owner analyzes customer reviews to determine which manager deserves a promotion.,An airline determines the average number of empty seats to know whether to cancel a flight.,A restauranteur studies environmental reports when choosing a city for their new restaurant.,A travel website analyzes competitors' prices to determine its own pricing strategies.,B,"An airline determines the average number of empty seats to know whether to cancel a flight. Descriptive statistics are used to describe basic features of data in a study. An example of a descriptive statistic is average, or mean. Mean can be used to make a business decision such as whether to cancel a flight. There is no indication that the customer reviews, environmental reports, or competitors' prices include descriptive statistics. https://www.investopedia.com/terms/d/descriptive_statistics.asp",Information Management,6,medium
"Stella works for a cruise line, and she is recommending that the owners add another Alaskan cruise to the yearly schedule. She wants to demonstrate how sales of Alaskan cruises have risen over the past several years. What kind of chart should Stella use to demonstrate this?",Scatter,Pie,Column,Histogram,C,"Column. A column chart shows the differences in individual values vertically. It is useful to show the difference between values in different time periods, such as the rising sales of Alaskan cruises over time. Pie charts show the proportion of each segment to the whole. They are not useful for showing rising sales over time. A scatter chart is used when showing relationships and correlations between variables, rather than rising sales over time. A histogram is used to show frequency distribution, not rising sales over time. Retrieved September 17, 2021, from https://towardsdatascience.com/data-visualization-101how-to-choose-a-chart-type-9b8830e558d6",Information Management,6,medium
"Before building a media presentation, you should first plan the text and illustrations for the presentation by",planning slide transitions.,developing a schedule.,creating the needed slides.,creating a storyboard.,D,"Creating a storyboard. Creating a storyboard helps you plan the text and illustrations for a presentation and plan the work that will need to be done to create the presentation. Developing a schedule can help with the planning of the work but does not help plan the actual content. Creating the needed slides and planning the slide transitions can only be done after a plan for the content is developed. September 17, 2021, from https://www.vyond.com/resources/what-is-a-storyboard-and-whydo-you-need-one/",Information Management,6,medium
"Trends indicate a rise in the number of people who like to bring their dogs with them on vacation. To accommodate this travel trend, there are an increasing number of",boutique pet stores.,residential dog parks.,all-inclusive resorts.,pet-friendly hotels.,D,"Pet-friendly hotels. Because many people consider pets to be important members of their families, they often prefer to travel with them. Many hotel chains and destination rental properties are beginning to provide pet-friendly accommodations. Some boutique hotels even provide special services to pamper pets such as grooming, spa, and walking services. Many communities are opening dog parks, which tend to attract local residents who need a place for their pets to exercise rather than travelers. All-inclusive resorts are those in which food and beverages are included in the price of the guest's stay. All-inclusive resorts may or may not allow pets on the property. September 17, 2021, from https://www.socialtables.com/blog/hospitality/pet-friendly-hotels/",Information Management,6,medium
A hotel guest gives the front desk clerk a credit card to guarantee payment for a room. The clerk uses a credit authorization service to,make a reservation for the guest at the hotel restaurant.,charge the cost of the entire stay with an additional $100 for room service.,determine if the guest has enough available credit to pay for the room.,create a voucher for the guest that includes the guest's information.,C,"Determine if the guest has enough available credit to pay for the room. Upon check-in, if the guest is paying with a credit card, the clerk will use the information on the credit card to verify that the guest has enough available credit to pay for the room for the entire stay. Even if the guest would prefer to have their credit card charged in advance of their stay, the hotel would not charge the guest for any room service until that service has been ordered by the guest. The clerk would not need any credit card information to make a reservation at the hotel restaurant. Any voucher created at the front desk would not require the addition of any credit card information. hold. Retrieved September 17, 2021, from https://www.warehousehotel.com/manheim/blog/everything-about-hotel-credit-card-holds",Information Management,6,easy
"Every time a customer pays with a credit card, the employees at Windsor Bar and Grille ask to see identification to",encourage cash payments.,prevent fraud.,know whom to charge.,comply with the law.,B,"Prevent fraud. It is important for businesses to prevent and avoid credit card fraud. One way to do so is to compare customers' credit cards to their identification. This ensures that the cards they are using belong to them. Asking to see identification does not encourage cash payments. The employees should know whom to charge without needing to see identification. There is no law that requires employees to see identification when customers pay with credit cards. fraud. Retrieved September 17, 2021, from https://startupnation.com/manage-yourbusiness/avoid-credit-card-fraud/",Operations,6,easy
"Before his project begins, Walker decides that he needs to check in with his project team once a day to see what they have accomplished. Walker is",making changes/corrections.,communicating with stakeholders.,deciding what to monitor.,gathering data.,C,"Deciding what to monitor. Walker is selecting the specific criteria he wants to monitor during the course of his project and when he will monitor them. This is the first step to monitoring projects and taking corrective actions. Walker is not making changes/corrections, gathering data, or communicating with stakeholders. Actions)",Operations,6,easy
Keeping a project's scope in mind during the planning process helps project managers,save time.,ensure a project's quality.,avoid all risks.,earn more money.,A,"Save time. A project's scope means what it includesâ€”and what it doesn't include. Keeping this in mind during the planning process helps project managers save time by avoiding working on tasks that are outside the project's scope. Keeping project scope in mind will not necessarily help project managers ensure a project's quality, help project managers avoid all risks, or help project managers earn more money.",Operations,6,easy
