Question,A,B,C,D,Correct,Explanation,Marketing,Assessment,Difficulty
"Francisco wasnâ€™t planning on purchasing a new tie, but when he walked by a display and saw all ties were on sale, he bought one. Franciscoâ€™s buying behavior was impacted by a __________ influence.",social,cultural,situational,psychological,C,"Situational. There are times when specific situations can override the more dominant influences on buying behavior, such as culture or personality. For example, you werenâ€™t planning on buying a new bathing suit, but when you walked by the display, you noticed they were on sale for a great price. So, you purchased one. Psychological, social, and cultural influences all impact buying behavior, but they are not demonstrated in this example.",Marketing,5,medium
"When marketers develop the promotion element of the marketing mix, which of the following factors should they take into consideration:",The types of special features a product has,Where to make a product available,Bringing in the amount of income they need,How to coordinate communication efforts,D,"How to coordinate communication efforts. The promotion element of the marketing mix refers to the various types of communications that marketers use to inform, persuade, or remind customers of their products. When developing the promotion element of their marketing mix, marketers consider how to coordinate communication efforts, which messages to send, which media to use, and when and how they want messages delivered, among other things. Focusing on the types of special features a product has is something marketers would consider in the product element of the marketing mix. Where to make a product available is something marketers would consider in the place element. Bringing in the amount of income they need is something marketers would consider in the price element.",Market Planning,5,medium
Which of the following is an advantage of mass marketing:,It provides more possibilities for success at a high cost.,It is more precise than segment marketing.,It looks to discover customers' specific needs.,It communicates a broad message to a large audience.,D,"It communicates a broad message to a large audience. Mass marketing is designing products and directing marketing activities to appeal to the whole market. As a result, mass marketing can be used to communicate a broad message to a large audience. Looking to discover customers' specific needs is an advantage of segment marketingâ€”the classification of customers into similar groups to appeal to one or more individual segment(s)â€” rather than mass marketing. Segment marketing is more precise than mass marketing. Mass marketing allows a business to produce one product for everyone, which is more cost-effective than producing and marketing several products to several target markets. Thus, mass marketing provides the most possibilities for success at the lowest cost.",Market Planning,5,easy
Which of the following is something that can be found in the situation analysis section of a marketing plan:,How the target market will use a product,Strengths and weaknesses of competition,Information on a market exit strategy,A company's mission statement,B,"Strengths and weaknesses of competition. In a marketing plan, situation analysis is the determination of a firmâ€™s current marketing situation. A situation analysis covers several key areas, which are sometimes referred to as the 5 C's: company, customers, competitors, collaborators, and climate. Information about the strengths and weaknesses of a company's main competitors is included in the situation analysis. A company's mission statement can be found in the executive summary of a marketing plan. Information about how the target market will use a product can be found in the desired target market section. Information on a market exit strategy is located in the marketing strategies and programs section. 1",Market Planning,5,easy
Which of the following statements about environmental scanning is true:,It only tracks internal factors and trends.,It evaluates potential opportunities and threats.,It only tracks external factors and trends.,It helps large companies rather than small companies.,B,"It evaluates potential opportunities and threats. Environmental scanning is the process of collecting information about the environment surrounding your business. An environmental scan is part of a situation analysisâ€”a determination of a firmâ€™s current business situation and the direction in which the business is headed. Environmental scanning evaluates the environment both inside (internal) and outside (external) of an organization, and evaluates potential opportunities, threats, and trends that could affect the business. Environmental scanning helps companies of every size. from https://www.indeed.com/hire/c/info/environmental-scanning",Market Planning,5,medium
Which of the following is a disadvantage of quantitative sales forecasting:,It can be less accurate.,It can be expensive.,It can be objective and neutral.,It can account for unexpected changes.,B,"It can be expensive. Quantitative sales forecasting can be much more costly than qualitative forecasting when you add up the expenses of compiling and organizing data, purchasing survey results, subscribing to publications, etc. An advantage of quantitative forecasting is that it can be objective and neutral. A disadvantage of qualitative forecasting is that it can be less accurate. A disadvantage of qualitative forecasting is that it lacks a high level of accuracy because it cannot account for unexpected changes.",Market Planning,5,medium
Which of the following is most likely to be a legal issue associated with information management:,Credibility,Efficiency,Privacy,Technology,C,"Privacy. Information management is the process of accessing, processing, maintaining, evaluating, and disseminating knowledge, facts, or data for the purpose of assisting business decision-making. When dealing with data, organizations must be compliant with laws and regulations limiting the way(s) this information is used, especially when it relates to consumer privacy. Technology, credibility (believability), and efficiency (accomplishing a task with minimal expenditure and time) are not legal issues associated with information management. January 31, 2023, from https://www.indeed.com/career-advice/career-development/what-isinformation-management",Information Management,5,medium
"When evaluating the validity of a source, you should check the authorâ€™s",creativity.,followers.,credentials.,income.,C,"Credentials. Credentials refer to information about a personâ€™s skills, abilities, and qualifications. While itâ€™s possible for anyone to post/publish something online, that doesnâ€™t necessarily mean they are qualified to do so. To determine the validity of a source, you should verify the authorâ€™s credentials to be sure they are qualified to write about a certain topic. An authorâ€™s income, followers (such as on social media), and creativity are not necessarily indications of an authorâ€™s qualifications and a sourceâ€™s validity. 31, 2023, from https://classroom.synonym.com/do-critical-evaluation-7646823.html 2",Information Management,5,easy
"Irfan is writing a report with two other team members. While each team member is writing a different section of the report, Irfan wants to make sure the entire report has a consistent voice and sounds like it was written by the same person throughout. What should Irfan and his team do to create and maintain this consistent voice?",Implement a thorough review process,Avoid sharing writing examples,Limit collaboration throughout the writing process,Draft a report outline independently,A,"Implement a thorough review process. To create and maintain a consistent voice on a shared document, it is helpful to implement a thorough and detailed review process that can help catch and address any voice inconsistencies. While each team member might be responsible for their own section, collaborating throughout the writing process and sharing writing examples with each other is a good way to make sure each member is writing with a shared voice. Drafting an outline is a helpful first step, but it should be done collaboratively, not independently. Retrieved January 31, 2023, from https://www.fastcompany.com/90714738/heres-how-to-keep-aconsistent-tone-in-your-external-content",Information Management,6,medium
Pamela manages a store that sells laptops and cell phones. She wants to protect the storeâ€™s products but also give customers the opportunity to pick up and test the different devices the store sells. What anti-theft device should Pamela use in her store?,Smart inventory management tools,Merchandising security,Display locks,Surveillance cameras,B,"Merchandising security. Many retailers use merchandising security to protect their products because it allows customers to still have access to those products. An example of merchandising security is a security stand, which mounts a product (like a cell phone) and tethers it to a display or furniture so that customers may pick up and try a product without being able to walk away with it. Smart inventory management tools, display locks, and surveillance cameras are all examples of anti-theft devices and strategies, but they donâ€™t necessarily allow customers to pick up and test the storeâ€™s products, as Pamela would like. September 13, 2022, from https://www.vendhq.com/blog/anti-theft-devices/",Operations,6,easy
In which of the following categories of cyber threats does malware belong:,Natural disaster,Adversarial threat,System failure,Human error,B,"Adversarial threat. There are many categories of cyber threats. Common categories of cyber threats include adversarial threats (e.g., insider threats, established hacker collectives, corporate espionage, and malware), natural disasters (e.g., tornados and floods), system failure, and human error. Malicious software (malware) is a type of adversarial threat. https://www.imperva.com/learn/data-security/cybersecurity-risk-management/",Operations,6,easy
"Which of the following tools do businesses often use to integrate different aspects of operations, such as order tracking, procurement, and inventory management:",Work breakdown structures,Round-robin matrices,Central Registration Depository,Enterprise resource planning software,D,"Enterprise resource planning software. Enterprise resource planning (ERP) software integrates different aspects of operations (e.g., product planning, procurement, inventory management, vendor/supplier communications, order tracking, etc.). By using ERP software, companies can help streamline communications, especially between different departments. The Central Registration Depository is a computerized database containing information about most brokers, including complaints filed and education and work history. A work breakdown structure is a document that details the division of a project workload into smaller, more manageable parts. Round-robin matrices is a fictitious term. September 13, 2022, from https://www.investopedia.com/terms/e/erp.asp 3",Operations,6,hard
"Madison is in charge of a project team tasked with developing a sales brochure. After starting to design the layout, though, Madison realizes the team might need to create an additional brochure for a separate product line. What aspect of the project is Madison monitoring and correcting?",Quality,Schedule,Budget,Scope,D,"Scope. A projectâ€™s scope is what it will and will not include. It is the work that will actually be done for the project. It is important to monitor scope because projects have the tendency to change over time. As you start working on your project, you may realize that you need to add to or take away from its scopeâ€”in Madisonâ€™s case, her team needed to add to its project scope. Budget, quality, and schedule are all aspects of a project that require attention, but they are not demonstrated in this example.",Operations,6,hard
Brainstorming is most effective when there is no,censorship.,creativity.,curiosity.,collaboration.,A,"Censorship. Generating as many ideas as possible within a specific period of time is a technique called brainstorming. Brainstorming is most effective in a group setting because participants can collaborate and build on each otherâ€™s ideas. This technique works best when thereâ€™s no censorship (suppression of ideas). The idea is to get as many thoughts flowing as possible without stopping to question or analyze them, so itâ€™s important to be both creative and curious when generating ideas.",Professional Development,6,easy
Which of the following is a position within product and brand management:,Content strategist,Marketing analyst,Advertising director,Customer service manager,B,"Marketing analyst. People who work in product or brand management are in charge of monitoring and developing one or more existing products or brands. Some positions within product and brand management include marketing analyst, brand assistant, brand manager, product manager, and product director. An advertising director is a job title in the advertising field. A customer service manager is a position within customer service. A content strategist is a job title in digital marketing.",Professional Development,6,medium
Which of the following statements about unethical marketing is true:,It doesn't have hidden agendas.,It is illegal in every instance.,It manipulates consumers.,It is not effective.,C,"It manipulates consumers. Unethical marketing is a marketing tactic that uses false and exaggerated claims or messages. By using unethical marketing, companies manipulate consumers into buying their products or services. Even though unethical marketing has plenty of disadvantages, it can be effective, especially when it preys on someone's emotions or fears. Although some unethical marketing and advertising practices are illegal, not every type of unethical marketing is considered illegal. Companies that use unethical marketing often have hidden agendas and may use subliminal messages to communicate their message to consumers. 2023, from https://smallbusiness.chron.com/ethical-practices-sales-marketing-64319.html",Professional Development,6,easy
Fiona recently started a new job and is having trouble understanding the leave policy outlined in the employee handbook she received. Which of the following techniques should Fiona employ to adhere to company guidelines:,Hold her colleagues accountable,Ask her supervisor,Evaluate her actions,Study company training materials,B,"Ask her supervisor. If you donâ€™t understand a certain guideline, donâ€™t be afraid to ask questionsâ€”your supervisors would much rather you ask for clarification before a problem arises than after one has already occurred! Fiona has already consulted the companyâ€™s training materials (the employee handbook), so she should ask her supervisor to clarify the leave policy. Evaluating actions and holding colleagues accountable for following rules are also ways to adhere to company guidelines, but they are not demonstrated in this example. 4",Professional Development,6,medium
"Prashanth wants to make sure all employees at his company have a role in meeting organizational goals. He makes sure to make company goals a regular part of performance reviews, team meetings, and leadership planning. What strategy to involve employees with meeting organizational goals is Prashanth demonstrating?",Communicate goals on every level,Get buy-in from leadership,Help employees achieve their goals,Set clear organizational goals,A,"Communicate goals on every level. Involving employees with meeting organizational goals includes several steps. For example, communicating goals on every level involves making sure employees at all levels are aware of and engaged in conversations about organizational goals, whether itâ€™s in team meetings, performance reviews, and/or leadership planning. Setting clear organizational goals, getting buy-in from leadership, and helping employees achieve their goals are steps that help involve employees with meeting organizational goals, but there is no evidence that those steps are demonstrated here. Retrieved September 13, 2022, from https://www.quantumworkplace.com/future-of-work/how-toalign-organizational-goals",Professional Development,6,hard
Effective prices are,competitive and low.,realistic and competitive.,flexible and impractical.,unchangeable and realistic.,B,"Realistic and competitive. Pricing is a marketing function that involves the determination of an exchange price at which the buyer and seller perceive optimum value for a good or service. Marketers must keep a number of characteristics in mind when setting effective prices. These include being realistic, competitive, and flexible. Impractical, unchangeable, and low are not characteristics of effective prices.",Pricing,7,easy
The selling prices of products help customers,allocate their money.,pay operating expenses.,find a companyâ€™s fixed costs.,buy everything they want. 0,A,"Allocate their money. Selling price helps customers allocate their money. Since very few people can buy everything they want, selling price helps people decide which items they can afford and which ones are beyond their means. Selling price does not provide customers with enough information to allow them to determine the fixed costs included in an itemâ€™s price. A productâ€™s selling price helps businesses pay operating expenses, not customers. How much a customer can buy is determined by the amount of money they have to spend.",Pricing,7,easy
Which of the following marketing research designs would most likely result in qualitative data:,Conducting a test market in three cities for a new product,Surveying customers for their opinions about a popular product,Evaluating the number of internet searches conducted for a product,Calculating monthly sales data for three top performing products,B,"Surveying customers for their opinions about a popular product. By surveying customers for their opinions about a popular product, researchers can collect customersâ€™ thoughts, feelings, opinions, and experiences related to the product. Such data are qualitative in nature. A test market would provide measurable, specific results, also known as quantitative data. Calculating sales data and evaluating the number of internet searches would also result in quantitative data. and causal)",Information Management,7,easy
"Boris owns a small business specializing in self-care products. Because of the profit made by his other products, Boris can afford to sell shaving razors for a very low priceâ€”especially because he knows customers will ultimately end up buying replacement razor blades, which he sells for a nice profit. This is an example of a __________ strategy.",price fixing,pump and dump,loss leader,bait-and-switch,C,"Loss leader. A loss leader strategy involves selling a product or service at a very low price to attract new customers and/or sell additional items to those customers. Because Boris sells shaving razors at a very low price and makes his profit through the sale of replacement razor blades, he is most likely using a loss leader strategy. A bait-and-switch strategy involves promoting a low-priced item to attract customers to whom the business then tries to sell a higher-priced item. Pump and dump is an investment scam that takes place mostly online. Price fixing is an illegal business agreement in which businesses agree on prices of their goods or services, resulting in little choice for the consumer. https://www.investopedia.com/terms/l/lossleader.asp 5",Pricing,7,hard
"In a big company, who is likely to be in charge of managing products and services?",An entire department,An entry-level employee,The manager,No one,A,"An entire department. Every business participates in product/service management, whether its employees realize it or not. In a big company, an entire product/service management department may exist, but even in a small business, the owner or manager is constantly making decisions about what to offer customers in the product/service mix. Generally, the bigger the company, the more people responsible for managing products and services.",Product Management,7,easy
"Innovation Inc. has added a newer, more expensive product to its product mix. This product-mix strategy is called",trading down.,trading up.,positioning.,contraction.,B,"Trading up. Trading up is a product-mix strategy in which a business adds a higher-priced product or line to its product mix. Contraction of the product mix means removing, or deleting, product items or lines from the product mix. Positioning is the product-mix strategy in which a business creates a certain image or impression of a product in the minds of consumers. Trading down is a product-mix strategy in which a business adds a lower-priced product or line to its product mix.",Product Management,7,hard
A meat wholesaler must inspect the conditions of its farms to ensure the health of its cattle and the performance of the meat processing operation. This is an example of __________ standards.,quantity,quality,time,cost,B,"Quality. A quality standard measures the degree of excellence of a good or service. Evaluating performance aspects of a company, such as the state of cattle or meat processing, would therefore be quality standards. A quantity standard measures the amount of work produced, not the condition. A cost standard measures the cost of a product, while a time standard evaluates the amount time needed to complete an activity.",Product Management,7,hard
Which of the following is a common reason for a company to offer a warranty or guarantee:,To generate ideas for new products,To build relationships with competitors,To decrease feedback from customers,To use as a promotional tool 1,D,"To use as a promotional tool. Many companies will advertise their warranties or guarantees in the hopes of gaining new customers. Warranties or guarantees seek to encourage feedback from customers rather than decrease it. Companies do not use warranties and guarantees to build relationships with competitors; rather, they are used to build relationships with customers by creating consumer loyalty. While they can provide the company some feedback regarding their products, warranties and guarantees are not typically used for product development.",Product Management,7,easy
"Alena has a favorite brand of gum. She enjoys it because it offers unique flavors, and she finds that each stick of gum lasts a long time. She loves the brand so much, in fact, that she refuses to chew any other kind of gum. This is an example of brand",recognition.,insistence.,preference.,naming.,B,"Insistence. Brand recognition occurs when consumers become aware of a brand and know a bit about it. Brand preference occurs when consumers prefer to purchase a certain brand based on their positive experience with the brand. However, if that brand is not available, the consumer will purchase another brand. And when consumers insist on â€œtheirâ€ brand and will not accept a substitute, the brand has reached brand insistence. Only that particular brand will satisfy a customer for a given purpose. The brand name is the part of the brand that can be spoken, such as a word, a phrase, a letter, a number, or any combination of these. 6",Product Management,7,easy
"When a product has been distributed throughout a population and the only chance for increased sales is population growth or a shift in market share, the product has reached",population fixation.,penetration pricing.,price skimming.,market saturation.,D,"Market saturation. Market saturation occurs when a product has been distributed throughout the population, and the only chance for increased sales occurs with population growth or a shift in market share. Fast food, for instance, has reached most of its potential customers in the United States. Price skimming and penetration pricing are marketing strategies, whereas market saturation is a consequence of a productâ€™s stage in the life cycle. Population fixation is not a term used to describe oversaturation of a market.",Product Management,7,hard
"As a product manager, Kyanâ€™s life is constantly impacted by technology. For example, just earlier this year, Kyanâ€™s team used advanced software to develop a sample of a proposed product. In other words, Kyanâ€™s team used technology to create a",protocol.,prospectus.,prototype.,proxy.,C,"Prototype. A prototype is an early sample or model of a product. When Kyanâ€™s team used advanced software to create a product sample, they used technology to develop a prototype. A protocol is an established set of rules that govern behavior within an organization. In finance, a prospectus is a document containing all vital information about a mutual fund. A proxy is a person who has been authorized to act on behalf of another. 2023, from https://userguiding.com/blog/product-service-management/",Product Management,8,hard
"Choosing between an attractive, durable packaging material that is not earth-friendly versus a less attractive, less durable material that is biodegradable is an example of an ethical dilemma in product/service management related to",environmental impact.,customer safety.,packaging graphics.,product labeling.,A,"Environmental impact. Product managers must consider the impact that their packaging materials will have on Earth before choosing which materials to use, which can lead to ethical dilemmas like this one. This is not an example of an ethical dilemma related to packaging graphics, customer safety, or product labeling.",Product Management,8,hard
HelloFresh is a company that sells a collection of fresh ingredients to consumers so they can make healthy meals at home. Consumers cannot purchase the ingredients as individual items from the company. HelloFresh uses __________ bundling.,pure,mixed,cross-sell,new product,A,"Pure. Bundling is a marketing strategy that involves offering several products for sale as one combined product. Pure bundling occurs when those products are only available together and cannot be purchased separately. Because HelloFresh customers cannot purchase individual ingredientsâ€”only those included in the recipeâ€”this is an example of pure bundling. Mixed bundling allows customers to buy bundled products together or as separate items. Cross-sell bundling involves bundling items across different product categories. New product bundling is a way to increase sales of a new product by bundling a newly launched item with an existing product. 2023, from https://www.qualtrics.com/experience-management/product/product-bundling/",Product Management,8,hard
"In marketing, positioning a laptop computer against a desktop computer is an example of positioning by",endorsement.,people (service).,product class.,product attributes. 2,C,"Product class. Positioning by product class is when a company markets a product by focusing on its product type of class rather than the product itself. Laptop and desktop computers have overlapping target marketsâ€” therefore, a company may seek to highlight the features of a laptop in contrast to a product in the same category, such as a desktop computer. An endorsement is the approval by a reputable external source such as a celebrity. Positioning by product attributes means focusing on the productâ€™s performance, reliability, durability, etc. Positioning by people (service) means focusing on customer service. 7",Product Management,8,hard
Which of the following is an example of a business developing products or services in response to trends:,A toy agency tweaking its products based on its competitor's limitations,"A restaurant offering gluten-free, low-carb, and vegetarian options",A cleaning company altering its services due to customer complaints,A cell phone company changing its product based on an online survey,B,"A restaurant offering gluten-free, low-carb, and vegetarian options. Most new product ideas typically come from trends, customers, or existing products. A trend is the general direction in which people or events are moving. A restaurant offering gluten-free, low-carb, and vegetarian options is a response to various health food trends. A cell phone company changing its product based on an online survey is an example of a business developing products or services in response to customers. A cleaning company altering its services due to customer complaints is an example of a business developing products or services in response to customers and/or existing products. A toy agency tweaking its products based on its competitor's limitations is an example of a business developing products or services in response to existing products.",Product Management,8,easy
"To generate multiple different product ideas that meet a need for her target market, Louisa should use __________ thinking.",extroverted,divergent,intuitive,convergent,B,"Divergent. Divergent thinking involves generating multiple ideas and/or solutions to a problem, often in a creative manner. Convergent thinking, on the other hand, involves seeking the single best answer to a problem or need. Because Louisa wants to generate multiple ways to meet the need of her target market, she would be best served by divergent thinking. Intuition is the ability to rely on your own instincts or inner reasoning; there is no indication that intuition leads to multiple ideas or solutions. Extroverted thinking is a fictitious term. creative problem solving. Retrieved February 1, 2023, from https://asana.com/resources/convergentvs-divergent",Product Management,8,medium
Which of the following is an example of a business logo:,Starbuckâ€™s rotating seasonal menu,Appleâ€™s thin and sleek iPhone design,"Pepsiâ€™s red, white, and blue circle",Taco Bellâ€™s commitment to customer service,C,"Pepsiâ€™s red, white, and blue circle. A logo is a distinctive symbol, design, or group of letters. For example, you probably recognize the panda used as the World Wildlife Fundâ€™s logo or the red, white, and blue circle used as Pepsiâ€™s logo. Commitment to customer service, the design of a single product, and the items listed on a menu are not examples of logos.",Product Management,8,easy
Many companies incorporate customer voice in branding efforts by allowing those who have purchased their products and/or services to,use coupons.,order online.,leave reviews.,receive alerts.,C,"Leave reviews. A customer review is an assessment of a product and/or service by someone who has experience with that product and/or service. By allowing customers to leave reviews about products and services they have purchased, companies can leverage the voice of the customer in branding efforts. Using coupons, ordering online, and receiving alerts are not examples of using the customer voice in branding efforts. 1, 2023, from https://www.convinceandconvert.com/customer-experience/customer-reviews-defineyour-brand/ 8",Product Management,8,medium
Which of the following are examples of customer touchpoints that occur after a purchase:,Social media and point of sale,Thank you cards and billing,Sales staff and follow ups,Testimonials and website,B,"Thank you cards and billing. Touchpoints are all the opportunities that businesses have to connect with customers and reinforce their brand. Post-purchase touchpoints, which are the opportunities for businesses to connect with customers after a sales transaction, include thank you cards, billing communications, online help centers, follow ups, etc. Testimonials and social media are examples of touchpoint opportunities before a purchase has been made. Company websites, sales staff, and points of sale are examples of touchpoint opportunities during a purchase. 2023, from https://www.surveymonkey.com/mp/identify-customer-touchpoints/",Product Management,8,easy
"Every Christmas, Coca-Cola runs animated commercials with polar bears. Instead of promoting a new flavor or product from the company, the commercials show the polar bears enjoying the soda in a classic Coca-Cola bottle. This is an example of which type of promotion objective?",Entertain,Persuade,Remind,Inform,C,"Remind. This is an example of how companies use promotion to remind their customers of their products. A company like Coca-Cola has a favorable company image that is already present in customers' minds. As a result, Coca-Cola uses the polar bear commercials to reinforce and build on its already favorable image. Because Coca-Cola isn't promoting a new flavor, it is not trying to inform customers on important information about their product. The commercial also isn't trying to directly persuade customers to buy the product over a competitor or to have certain views or opinions. While several promotions may look to entertain potential customers, entertain is not considered one of the three commonly identified objectives of promotion.",Promotion,8,hard
How does promotion directly benefit a company?,It makes better educated customers.,It plays upon people's fears.,It enhances a company's image.,It manipulates customers. 3,C,"It enhances a companyâ€™s image. Promotion can benefit a company by enhancing or developing its image. Companies that use promotion benefit directly from their efforts, and it helps create awareness of the company and its products. Customers becoming better educated is a benefit to customers themselves and not necessarily the business. Playing upon peopleâ€™s fears and manipulating customers are considered disadvantages of promotion, not benefits.",Promotion,9,easy
Jericho Manufacturing is promoting a new product at the yearly industry trade show. This is an example of a(n) __________ promotional strategy.,nonlinear,increasing,pull,push,D,Push. A push strategy is a promotional strategy in which a company takes its products directly to consumers. This is often achieved through intermediaries. A trade show is an example of an intermediate strategy that can be used to market a product. A pull promotional strategy seeks to bring customers to a product through the use of direct product promotion such as a commercial or online advertisement. Increasing and nonlinear promotional strategies are fictitious terms.,Promotion,9,hard
"Because the cost and impact of their advertisements can depend of the size of the ad on the page, printed publications such as newspapers and magazines are considered __________ media.",time,specialty,space,free,C,"Space. Printed publications such as newspapers and magazines are considered space media because the cost and impact of their advertisements can depend on the size of the ad. Better put, it can depend on the space they take up on the page. Broadcast media, like television and radio, is considered time media because its advertisements last only as long as they are on the air. More often than not, newspapers and magazines cost money, so they are not considered free media. Specialty media is a type of â€œotherâ€ media that features a businessâ€™s logo, is useful, and is given away freely. Printed publications arenâ€™t considered specialty media. 9",Promotion,9,hard
"Shauna is an intern for an advertising agency. She is asked to draft copy for an upcoming ad, but she has never heard the term â€œcopyâ€ used in that way before. When she asks a coworker, she learns she needs to create the __________ of the advertisement.",white space,headline,main text,illustration,C,"Main text. Copy is the main text (also called the â€œbodyâ€) of an advertisement that provides readers with information. Headlines are text set in large type usually positioned at the top of an advertisement. Illustration includes photographs, drawings, or other graphics, like a chart or table. White space is blank space in an advertisement unoccupied by text or illustrations. Headlines, illustrations, and white space are not referred to as â€œcopy.â€ 2023, from https://www.lifewire.com/graphic-parts-of-an-ad-1077221",Promotion,9,medium
Product placement in movies is a form of,stealth marketing.,fear-based advertising.,white hat SEO.,public relations.,A,"Stealth marketing. Stealth marketing involves advertising that is done secretly. Product placement in movies and influencers promoting a product or service without disclosing that itâ€™s actually an ad are common examples of stealth marketing. Fear-based advertising involves using an audienceâ€™s psychology to influence purchase decisions. White hat SEO refers to practices that improve search page rankings. Public relations is a function of business designed to establish and maintain positive relationships between the business and its various publics, or fan bases. https://www.smartcapitalmind.com/what-is-stealth-marketing.htm",Promotion,9,easy
Which of the following is a feature of carousel ads:,Gathering online polling data,Showcasing multiple products,Advertising longer video clips,Tracking click-through rate (CTR),B,"Showcasing multiple products. Carousel ads can be featured on many mainstream social media sites such as Instagram and Facebook. They allow viewers to scroll through different pages or images so that multiple products or services can be displayed. Carousel ads function best when they display images due to their slideshow feature. Playable or video ads are better suited to show longer video clips. Polling data can be gathered through online surveys or polls. Ads themselves cannot be used to track click-through rate. budget. Retrieved July 20, 2022, from https://blog.hootsuite.com/social-media-advertising/",Promotion,9,easy
The majority of consumers will value product recommendations from __________ over all other forms advertising.,customer reviews,social media influencers,commercials,family and friends,D,"Family and friends. Recent studies show that upwards of 90% of consumers believe recommendations from friends and family over any other form of advertisement. While customer reviews can be effective word-ofmouth tools, studies indicate that customers will require multiple positive reviews to reach a high level of trust in a company or product. Social media influencers and commercials can also be effective marketing tools, but they do not possess the same levels of trust from consumers. Retrieved July 20, 2022, from https://www.yotpo.com/resources/word-of-mouth-marketing/",Promotion,9,hard
"When Sam bought a sweater yesterday, he showed the cashier his phone, which had a digital certificate entitling him to a reduced purchase price. What did Sam use to reduce his purchase price?",Interest rate,Seasonal discount,Rebate,Coupon 4,D,"Coupon. A coupon is a certificationâ€”either print or digitalâ€”that entitles the holder to a reduced purchase price. Because Sam used the digital certificate on his phone to reduce the purchase price of his new sweater, he used a coupon. A rebate is a return of part of the price a customer pays for a good or service that is usually offered by the productâ€™s manufacturer. Interest rate is the percentage figure used in calculating interest charges. There is no evidence that Sam used a seasonal discount, which is a time-based discount. 2022, from https://www.marketingstudyguide.com/difference-coupons-rebates/ 0",Promotion,9,medium
Which of the following public relations communication tools should include all the information a journalist might need to feature a company and/or product in a news story:,Sponsorship,Press kit,Website collection,Petition,B,"Press kit. A press kit is a set of articles and pictures provided to the media to obtain publicity; press kits can include a company description, contact information, case studies, testimonials, and more. A sponsorship is an agreement that allows a company to pay a fee to an organization or event for the right to affiliate itself with that organization or event. A petition is a formal document that typically contains many peopleâ€™s signatures and is submitted to a court or elected official to ask them to address an injustice. A website collection is a fictitious term not associated with public relations activities. Retrieved July 13, 2022, from https://blog.hubspot.com/marketing/media-kit-examples",Promotion,9,hard
A benefit of white space in graphic design is,cognitive overload.,larger page size.,lighter color tones.,improved comprehension.,D,Improved comprehension. Using white space increases legibility and overall comprehension of content by providing a more open and clean design. Cognitive overload refers to too much information being given at one time. Utilizing white space reduces oneâ€™s cognitive load by creating more unmarked space. White space does not literally mean using the color white; white space can be any color or pattern used as a background to create space. White space does not directly correlate to the size of the page; it can be applied to designs of all shapes and sizes. https://blog.prototypr.io/importance-of-white-space-in-design-5a40c0e65bfd,Promotion,9,easy
A multinational technology company has partnered with a humanitarian organization that provides food and water to needy families. This is an example of,crisis planning.,corporate social responsibility.,paid advertising.,internal communications.,B,"Corporate social responsibility. Corporate social responsibility is the duty of a business to contribute to the wellbeing of society. By partnering with a humanitarian organization, this company is spending resources to promote the general welfare rather than solely focus on their own business interests. Internal communications are messages dispersed to the employees of a company. A paid advertisement is any messaging paid for by a company or organization that promotes their interests. This could be through print, broadcast, or online mediums. Crisis planning is the preparation for any negative possibilities and the ensuing response from a public relations perspective. https://www.agilitypr.com/resources/pr-glossary/public-relations-activities/",Promotion,10,hard
Internal public relations can be used to,recognize employees.,control media coverage.,influence laws and legislation.,improve community relations.,A,"Recognize employees. An important role of internal public relations is to help boost employee relations and overall morale. Recognizing employees for individual or group accomplishments can be an effective way to increase morale. Public relations are not meant to control media coverageâ€”solid media relations can benefit a company, but they are not able to completely control media reporting. It isn't the purpose of internal public relations to influence laws and legislation or improve community relations. These are the goals of external public relations. https://www.axiapr.com/blog/what-is-internal-public-relations 1",Promotion,10,easy
Childrenâ€™s daycare is an example of a(n),intangible product.,manufacturer.,tangible product.,intermediary.,A,"Intangible product. An intangible product is a service or activity that the customer pays someone else to perform. Childrenâ€™s daycare is a service performed by a business that is paid for by the customer. A tangible product can be touched, smelled, tasted, seen, or heardâ€”therefore, daycare is not a tangible product. A manufacturer produces goods and sells them to an intermediary such as a wholesaler or retailer. An intermediary sells goods that were produced by a manufacturer.",Selling,10,easy
"When generating and qualifying leads, a salesperson should",make sure their potential contact has the authority to make a purchase.,rely on previous background info that was gathered by other salespersons.,contact someone they donâ€™t know at the company rather than a known associate.,send mass messages to prospects rather than personalized messages.,A,"Make sure their potential contact has the authority to make a purchase. When selling to a business, a salesperson should ensure that a potential customer is in a position to purchase their product or service. If this is not established, they risk wasting valuable time. If possible, a salesperson should reach out to someone they know in the company; having a good rapport within a company can be instrumental to making a sale. Personalized messages will also help to build rapport. A salesperson should qualify their own leads to know as much as possible about their prospective clients and to make sure their info is up to date.",Selling,10,medium
Sebastian always makes sure to come prepared with product knowledge to a sales presentation because being prepared helps him,improve company morale.,overcome customer objections.,raise important questions.,increase sales quotas. 5,B,"Overcome customer objections. Overcoming customer objections may be the most difficult part of an entire sales presentation, and itâ€™s nearly impossible to do so without sufficient product information. If a customer raises an objection, salespeople want to counter with facts about the product to prove that it meets the customerâ€™s needs or suggest another product that works better. Company morale is not affected by an individualâ€™s preparation. Preparation does not directly influence sales quotas (although it might help the salesperson meet those quotas). The salesperson should ask important questions about the product before the sales presentation.",Selling,10,medium
