Question,A,B,C,D,Correct,Explanation,Topic,Assessment,Difficulty
Dara is using Google to locate information on the Internet about her research report topic. She is using a search,machine.,engine.,technology.,group.,B,"Engine. Search engines (such as Google, Yahoo, or Bing) find web pages that correspond to the phrases, key words, or topics you enter. If Dara searches for her research report topic, she will receive results that correspond to that topic. Search engines are not referred to as machines, technologies, or groups. from https://www.thebalancesmb.com/search-engine-2867354",Information Management,8,easy
"A business wants to purchase computer software that would store, manage, and retrieve customer information in order to better serve customer needs and increase sales. What type of software should the business buy?",Database,Spreadsheet,Word processing,Computer-aided design,A,"Database. A database program allows the organized collection of information with pieces of information related to one another. This information can be used to maintain, analyze, and combine customer information. Spreadsheets, word-processing software, and computer-aided design do not perform the functions required by the business. https://www.lifewire.com/what-is-a-database-1019737",Information Management,8,easy
The ability to quickly and accurately calculate mathematical data is one of the characteristics of a __________ software program.,spreadsheet,database,graphics,word-processing,A,"Spreadsheet. Spreadsheet software programs are designed to organize, calculate, and analyze mathematical or numerical information. Businesses are able to enter mathematical information into rows and columns, and the software provides accurate calculations in a matter of seconds. Database software programs maintain information according to specific criteria. Word-processing software programs are used to create text documents. Graphics software programs are used to combine text and pictures to create visual impact. from https://smallbusiness.chron.com/spreadsheets-vs-databases-53907.html",Information Management,8,hard
"Stella has just finished designing the web page for her new business. Next, she needs to select a ___________ and register the website's ____________.","hyperlink, modem","web host, domain name","media permit, server","file link, ethernet",B,"Web host, domain name. After creating a web page, the developer needs to post the web page through a web host (web server) or Internet service provider (IPS). The web host may charge a fee to post and store the web page, although some web hosts will provide the service free of charge. The domain name is the business's web address. Internet users enter the web address to view Stella's website. Stella can register her domain name directly with the Internet Corporation for Assigned Names and Numbers (ICANN). Or, Stella can work with her web host to register the domain name for her. Stella does not need to register a hyperlink, media permit, or file link with any organization. A hyperlink (link) is the component of an electronic document (file) that can be clicked on in order to jump to another place within the document or into a different document. A modem is an internal or external computer communications device that is used to transmit information over a particular medium such as telephone lines or television cables. Ethernet is a local area network. 19, 2019, from http://www.webhostingsearch.com/articles/how-to-publish-your-website.php",Information Management,8,medium
"Because operations managers control so much of a business's money, they must focus on",keeping costs low.,hiring the best employees.,creating effective advertising campaigns.,generating publicity.,A,"Keeping costs low. Because operations managers control so much of a business's money, they must focus on keeping costs low. Operations managers are not responsible for hiring employees, creating advertising campaigns, or generating publicity.",Operations,8,easy
An employee notifying a government agency that the business is violating health and safety regulations is an example of,reporting noncompliance.,spreading gossip.,unethical behavior.,verbal communication.,A,"Reporting noncompliance. Certain government agencies have developed health and safety regulations that businesses are expected to follow in order to provide employees with a safe work environment. If businesses do not comply with these regulations, they should be reported for noncompliance so the necessary action can be taken to solve the problem and make the workplace safe for employees. The goal is to correct dangerous situations and keep the workplace safe. An employee notifying a government agency is not an example of spreading gossip, unethical behavior, or verbal communication. In fact, the employee is exhibiting ethical behavior. Also, the employee may have notified the agency in writing which is nonverbal communication. from https://www.oshaeducationcenter.com/articles/reporting-labor-violations/",Operations,8,medium
One way that businesses maintain the security of data that they send over the Internet to clients is by using a software program that prevents a(n),attachment from being included.,virus from being downloaded.,document from being forwarded.,search engine from being used.,C,"Document from being forwarded. Some businesses use software programs that help maintain the security of data they send over the Internet to clients. These programs prevent documents from being forwarded to others so the information does not end up in the hands of competitors. Also, these programs prevent others from copying, editing, or printing the documents which helps maintain the information in its original form. These software programs do not prevent a virus from being downloaded, an attachment from being included, or a search engine from being used. August 19, 2019, from https://www.technipages.com/outlook-disable-email-forwarding",Operations,9,easy
What kind of dangerous situation might result if a new employee operates specialized equipment without having received prior training on how to properly use that equipment?,Personal tension,Mental stress,Physical fatigue,Safety hazard,D,"Safety hazard. A safety hazard is any situation that has the potential to cause bodily harm. Machines and equipment can be hazardous to workers who don't know how to use them. Using specialized equipment without prior training can result in possible injury to the employee or a coworker. Stress is a mental or emotional feeling of pressure or tension. Fatigue is a state of mental or physical tiredness. Tension is stress. management (15th ed.) [Lesson 14.3c]. Boston, MA: Cengage Learning, Inc.",Operations,9,easy
One way that employees can help prevent accidents is by practicing,emergency methods.,first-aid techniques.,good health habits.,security procedures.,C,"Good health habits. Practicing good health habits helps reduce the risk of carelessness, which commonly causes workers to make errors that result in accidents. People who eat a balanced diet, get plenty of sleep, and exercise regularly are more rested, alert, and able to concentrate on their work. Practicing first-aid techniques, emergency methods, and security procedures will not help employees prevent accidents, but they should be trained in those areas in order to properly deal with accidents once they have occurred. 564-566]. Tinley Park, IL: The Goodheart-Willcox Co.",Operations,9,easy
Which of the following is NOT an example of point-of-sale fraud committed by employees:,Accepting a check from a customer who lacks funds to cover it,Undercharging friends or family members for purchases,Overcharging customers and keeping the extra money,Using employee discount privileges for friends or family members,A,"Accepting a check from a customer who lacks funds to cover it. This is an example of customer fraud. Even though the employee may follow all procedures for handling checks, the check may still be ""bad"" because the customer does not have enough money in the bank to cover the check. An employee commits fraud when deliberately causing losses to the business by overcharging and keeping the difference, undercharging friends, and misusing the discount privilege. Tinley Park, IL: Goodheart-Willcox.",Operations,9,easy
Why is it important for business employees to follow established security procedures?,To develop a healthy environment,To create a pleasant facility,To avoid the risk of accidents,To reduce the possibility of loss,D,"To reduce the possibility of loss. Businesses establish security procedures, which are activities that employees should follow to protect the business from loss. These security procedures are intended to reduce the risk of robbery, assault, and other violent crimes, all of which might result in a loss for the business. For example, robbery usually results in financial loss. Employees do not follow established security procedures to create a pleasant facility, avoid the risk of accidents, or develop a healthy environment. Retrieved August 19, 2019, from https://www.thebalancesmb.com/shoplifting-prevention101-2890256",Operations,9,medium
The people who are impacted by a project in any way are called,workers.,team members.,customers.,stakeholders.,D,"Stakeholders. Stakeholders are people who are impacted by the project in any way. Customers, team members, and workers might be stakeholders, but they are not the only people who are impacted by the project.",Operations,9,easy
"A project team decided to meet every week, but after a while, the members realized that monthly meetings would be enough. The project team is monitoring",budget.,quality.,risk.,communications.,D,"Communications. Project teams usually develop a communications plan that they follow throughout the course of the project. Communications between teams and stakeholders need to be monitored. Monitoring communications includes making sure your planned communications are appropriate for your project, such as the project team determining that biweekly meetings were more appropriate than weekly meetings. This example does not involve monitoring budget, quality, or risk. Actions)",Operations,9,easy
Which of the following is an indicator that your project is a success:,It is temporary.,The team is challenged by the work.,It offers financial value.,It comes in under budget.,C,"It offers financial value. When it comes down to it, money matters. A successful project should bring money in rather than waste it. Whether or not the team is challenged by the project's work does not necessarily indicate project success. Successful project outcomes are sustainable rather than temporary. Finally, projects that come in under budget can be successful, but not in every instance.",Operations,9,easy
Centralized retail buying can become ineffective for a large chain when,purchasing responsibility is shared by buyers.,its stores are divided into districts.,all buying is carried out at one location.,its stores are located very far apart.,D,"Its stores are located very far apart. Retail chains can grow so large that centralized buying no longer is effective. To correct this, the chains switch to decentralized buying in which the country is divided into districts, and district managers take responsibility to buy for district stores. Having buying carried out in one location and giving purchasing authority to buyers of different lines help make centralized buying effective.",Operations,9,medium
Which of the following actions would most likely be taken by an organized employee:,Having coworkers prioritize workload,Thriving on tight deadlines,Asking for help to complete tasks,Planning work ahead of time,D,"Planning work ahead of time. Planning work involves scheduling activities and making sure to have the supplies needed to complete tasks. This helps effectively manage time, so work can be done at a relaxed pace. Generally, employees who work at a relaxed pace do not make as many mistakes as those employees who are rushed and work on unnecessarily tight deadlines. Planning work often leads to greater productivity and efficiency, which means an employee is less likely to impose on coworkers for help to complete a task or project on time. life (9th ed.) [Lesson 4-5a]. Boston, MA: Cengage Learning, Inc.",Professional Development,9,easy
"Before trying to generate possible solutions to problems, it is essential to identify all of the",consequences.,rewards.,outcomes.,facts.,D,Facts. This is a critical step in the problem-solving process and should be done immediately after the problem has been defined. Conduct an inventory of the facts by making lists or diagrams. It is not always possible to identify all the outcomes or consequences of a possible solution in advance. Solving problems does not always bring rewards other than the elimination of the problem.,Professional Development,10,easy
Laura has made a list of the things she most enjoys doing and the way she likes to spend her time. This list will help Laura,increase her level of ability.,improve her study habits.,measure her work skills.,identify an appropriate career.,D,"Identify an appropriate career. In order to find out which career would be most appropriate for you, you first need to know yourself. This involves identifying the things that interest you, as well as assessing your skills, aptitudes, and other traits. Assessing your interests will not help you increase your level of ability. It also will not help in measuring work skills or improving study habits. Cengage Learning, Inc.",Professional Development,10,easy
Employees who arrive at work on time and direct their own work-related activities during the course of the day usually possess positive __________ skills.,inner-qualitative,self-conceptual,self-management,personal-orientation,C,"Self-management. The ability to control one's own activities, behaviors, and attitudes in the workplace is often referred to as self-management. Employees who make a conscious effort to get to work on time each day are engaging in positive self-management skills. Other activities that employees can control in the workplace might include their ability to perform and produce quality work in a given time, willingness to learn new activities, level of flexibility, and degree of workplace socializing. Self-concept refers to how one views him/herself. Inner-qualitative and personal-orientation are not terms frequently used to describe self-control issues as they relate to the workplace. life (9th ed.) [Lesson 4-5]. Boston, MA: Cengage Learning, Inc.",Professional Development,10,medium
Tia has many interests and doesn't know which career path is best for her. One method Tia can use to determine the best occupational options for her is to,develop a general interest questionnaire.,have friends and family critique her personality type.,complete an aptitude assessment survey.,surf the Internet for job descriptions.,C,"Complete an aptitude assessment survey. Many people have a difficult time selecting a career path that is right for them. Some people complete professionally developed aptitude assessment surveys to help them determine their aptitudes and skills. By considering factors such as personality type, abilities, interests, and learning style, a person can use the survey results to determine the career for which s/he is best suited. Although constructive input from friends and family might help Tia in assessing her career options, the information may not provide her with the objectivity and the detail she would receive from a professionally developed assessment survey. Developing a general interest questionnaire and surfing the Internet for job descriptions are not activities that will provide her with guidance in terms of her specific career selection. MA: Cengage Learning, Inc.",Professional Development,10,easy
Taylor works as a public relations manager. His career is in the area of,marketing research.,operations management.,professional selling.,marketing communications.,D,"Marketing communications. Taylorâ€™s career in public relations is in the area of marketing communications. Marketing communications involves marketing activities that inform, remind, and/or persuade the targeted audience of ideas, experiences, goods/services, and/or images. Examples of marketing communications techniques include advertising, direct marketing, digital marketing, publicity/public relations, and sales promotion. Taylorâ€™s career is not in the areas of operations management, professional selling, or marketing research. Employees working in operations management focus on planning, organizing, coordinating, and controlling the resources needed to produce/provide a businessâ€™s goods and/or services. Careers in professional selling involve marketing and management activities that determine customer needs/wants and respond through planned, personalized communication to influence purchase decisions and enhance future business operations. Marketing research jobs focus on marketing activities that involve determining information needs, designing datacollection processes, collecting data, analyzing data, presenting data, and using data for marketing planning.",Professional Development,10,easy
How do entrepreneurs develop their skills?,By training and continuous practice,By reducing their flexibility,By becoming an autocratic leader,By seeking little or no advice from others,A,"By training and continuous practice. Skill is defined as the ability to perform a task that is developed through knowledge, training, and practice. Entrepreneurs also grow by learning to be flexible and seeking advice from others. Flexibility is the ability to adapt to changes as they occur. When entrepreneurs seek advice, they exhibit open-minded behavior. Being open-minded is the ability to see different viewpoints. Being open-minded and flexible are behaviors that successful entrepreneurs generally exhibit. Autocratic leadership is a dictatorial style of leading in which the leader determines all policies, maintains close control, and lets employees know only what they need to know in order to do the job. Possessing this form of leadership does not necessarily help entrepreneurs develop the skills they need.",Professional Development,10,easy
What types of skills are extremely important for an applicant to use effectively during an employment interview?,Occupational,Communication,Management,Educational,B,"Communication. Good communication skills will enable an applicant to perform well during an employment interview. An applicant who carefully listens to questions, provides brief but concise answers, and speaks clearly will make a positive impression on the interviewer. Proper body language, or nonverbal communication, such as maintaining eye contact and having a pleasant facial expression, also helps applicants interview effectively. Applicants with good communication skills usually are able to favorably explain their occupational, educational, and management skills to interviewers. 645-648]. Tinley Park, IL: The Goodheart-Willcox Co.",Professional Development,10,medium
A primary purpose of sending a follow-up letter to the interviewer after a job interview is to,"ask for a second interview, if the first interview did not go well.",provide detailed information about your integrity and skills.,reinforce your qualifications and interest in the position.,request more information about the job's salary and benefits.,C,"Reinforce your qualifications and interest in the position. It is a courtesy to send follow-up letters to interviewers to thank them for their time. The applicant can use the letter to reinforce his/her qualifications and express his/her interest in the position. This letter may also help the interviewer remember the applicant. The follow-up letter should be briefâ€”the detailed information should have been provided in the application and rÃ©sumÃ© and during the interview. If the first interview did not go well, interviewers do not usually ask applicants for a second interview. It would be inappropriate to request more information about the job's salary and benefits in a follow-up letter. This type of information is typically provided when the employer extends a job offer to the applicant. Learning, Inc.",Professional Development,10,easy
Serving as a volunteer in a specific industry or for a business-related organization is one way that individuals might obtain,guidance counseling.,monetary compensation.,technical training.,work experience.,D,"Work experience. Many young people have limited paid work experience, and many of these jobs may be in areas unrelated to their career goals. One way to obtain valuable work experience is to serve as a volunteer in a specific industry or for a business-related organization. Volunteer work refers to activities or tasks that a person performs without pay. Although responsibilities might be menial in nature, the experience provides the volunteer with insight as to how business operates and what is expected of employees. Volunteers usually do not receive monetary compensation, technical training, or guidance counseling. 2019, from https://www.thebalancecareers.com/dream-job-timeline-2059455",Professional Development,10,medium
Which of the following is a benefit that individuals receive from following rules of conduct:,Increased organizational communication,Protection from consequences,Less ethical guidance,Increased financial compensation,B,"Protection from consequences. If you follow the rules laid out by your organization, you will meet expectations and be protected from consequences. Increased organizational communication is a benefit that organizations, rather than individuals, receive from following rules of conduct. Increased financial compensation is not necessarily related to following rules of conduct. Finally, rules of conduct provide more ethical guidance rather than less.",Professional Development,10,easy
What type of partnership arrangement might restrict a partner's liability?,Franchise,Limited,Close,S,B,"Limited. A limited partnership permits a partner to invest in a business but have limited liability. For example, the amount of the financial responsibility could be limited to the amount the partner invested. Or, a partner could limit their time involved in managing the business. Close and ""S"" are types of corporations. A franchise is a contractual agreement between a parent company and a franchisee to distribute goods and services. Since franchises can be proprietorships, partnerships, or corporations, more information would be needed in this question for franchise to be the correct response.",Business Law,1,medium
What information should employees avoid sharing with their coworkers?,Organizational tips,Current salary,Sales policies,Vacation plans,B,"Current salary. Certain information is considered personal and confidential and should not be shared with coworkers. An employee's salary is confidential information between the business and the employee and should not be divulged to others. Organizational tips, sales policies, and vacation plans are not considered confidential information, so it is generally OK for employees to share this information with coworkers if they want to. https://www.monster.com/career-advice/article/dangers-discussing-pay-coworkers",Communication Skills,1,easy
A characteristic of effective written communication is that it,accomplishes its intended purpose.,is quick and easy to prepare.,is open to interpretation.,contains a lot of information.,A,"Accomplishes its intended purpose. Written communications serve many purposes, and a test of whether a written communication was effective is whether it accomplished the purpose for which it was intended. Written communications do not need to contain a lot of information to be considered effective. Effective written communication takes time and effort and is not usually quick and easy to prepare. It should also be clear and should not require the reader to interpret its meaning or be open to any interpretation that the reader wants to give it. https://www.mindtools.com/CommSkll/WritingSkills.htm",Communication Skills,1,medium
Which of the following is an example of an internal distraction that could disrupt the listening process:,Other people talking,A headache,A ringing cell phone,A TV,B,"A headache. An internal distraction is a concern or worry on the part of the listener that takes away from their ability to attend to the speaker's message, such as a headache, hunger or thirst, a personal problem, or poor health. A ringing cell phone, other people talking, or a TV are all examples of environmental distractions, which are aspects of the setting that divert the listener's attention away from the speaker's message.",Communication Skills,1,easy
Which of the following is a tool that people use when participating in discussions:,Building on someone else's comment,Avoiding asking questions,Sharing rumors,Hiding new ideas,A,"Building on someone else's comment. Discussion tools for contributing in an open-minded way include: asking questions, building on someone else's comment, volunteering a new idea, pointing out missing information, and helping the group summarize what's been said. Sharing rumors or gossip is not appropriate during business discussions because the information may be inaccurate and irrelevant. Avoiding asking questions and hiding new ideas are also not helpful tools when participating in discussions. BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 2",Communication Skills,1,medium
What is typically the most important thing to consider when deciding whether to use a particular source in your research?,The author's educational background,The credibility of the author,The purpose of the source,The source's intended audience,B,"The credibility of the author. While it's important to consider the purpose of the source, the intended audience, and the author's educational background, the most imperative consideration in determining whether to use a particular source in your research is the author's credibility. An author who could benefit financially or socially from their writing on a topic might not be the most credible source of information. Likewise, if the source contains inaccurate information, it is not likely to be credible. Authors who are trying to advance a specific agenda are likely to be biased and not trustworthy. The intended audience is also important to consider. Generally, articles and texts written for academia are considered good sources, but there are also reasons to consider more mainstream sources. Although educational background is often an indicator of a person's knowledge and expertise in a certain topic, the author's schooling is not typically the most important consideration. 17, 2022, from https://libguides.umgc.edu/credibility",Communication Skills,1,easy
"Jessica needs to tell her best friend, Eliza, that she can't make it to her birthday dinner. She has an important job interview that she can't miss, and she knows Eliza will be upset. When Jessica sees her friend from across the hall at school, she starts to make her way over to herâ€”but realizes that Eliza is frowning and hunched over. Jessica decides to tell Eliza another time, when she's in a better mood. Which of the following nonverbal cues did Eliza display that signaled to Jessica that she was in a bad mood:",Tone of voice and eye contact,Volume of voice and tempo,Eye contact and facial expressions,Facial expressions and body language,D,"Facial expressions and body language. Nonverbal communication involves the use of actions and expressions, known as nonverbal cues, that send messages. Nonverbal cues include body language, personal space, eye contact, facial expressions, posture, and even the tone and pitch of a person's voice. In this example, Eliza displayed a facial expression (frowning) and body language (hunching over) to signal that she was in a bad mood. There is not enough information given to determine whether she displayed nonverbal cues relating to tone of voice or eye contact. 2022, from https://bizfluent.com/how-7251395-read-body-language-customers.html",Communication Skills,1,easy
"To provide a legitimate, effective response to an inquiry, you should",answer the question immediately.,actively listen to the question.,make your answer as long as possible.,answer the question with a question.,B,"Actively listen to the question. To provide a legitimate, effective response to an inquiry, you should actively listen to the question. Rather than rehearsing your response in your head while the question is still being asked, you should listen carefully to the inquiry. By actively listening to what is being said, you are more likely to understand the question and answer it appropriately. If you still don't understand the inquiry after actively listening to it, ask for clarification. When you are certain that you understand the intent of the question, pause for a moment to consider your response. Don't respond immediately or say the first thing that pops into your mind. Instead, compose your response silently and then say it aloud. It is not necessary to make your answer as long as possible. Your answer should be concise, containing only the information necessary to completely and specifically respond to the inquiry. Avoid answering a question with a question because it gives listeners the impression that you are trying to evade responding to the inquiry. art of answering questions when teaching and presenting. Retrieved August 17, 2022, from https://www.facultyfocus.com/articles/teaching-and-learning/five-strategies-for-mastering-the-art-ofanswering-questions-when-teaching-and-presenting BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 3",Communication Skills,1,easy
What should employees keep in mind when trying to be objective while defending their ideas?,Others may have different opinions.,It might be difficult to explain the data.,Managers may be too busy to ask questions.,The result might be office conflict.,A,"Others may have different opinions. When defending their ideas, employees should keep in mind that others might not agree with the ideas or may have different opinions. If this happens, employees need to remain objective and clearly explain their ideas and provide supporting information. Being calm and logical is often the best way to defend ideas to others who have different opinions. Managers usually ask questions because they want to clarify information and make sure they understand the ideas. Employees' objectively defending their ideas usually does not result in office conflict. If employees understand their ideas, it should not be difficult to explain the data. August 17, 2022, from https://www.psychologytoday.com/us/blog/ambigamy/202006/how-defendyourself-without-appearing-defensive",Communication Skills,1,easy
"Jack says to Wendi, â€œIf I understand you correctly, you are saying that you want to change the format of the inventory report so it will be easier for the managers to analyze.â€ What communication technique is Jack using to clarify Wendi's suggestion?",Paraphrasing,Expressing an opinion,Quoting,Passive listening,A,"Paraphrasing. Message recipients use many techniques to encourage and indicate their understanding of a speaker's message. In the example, Jack is paraphrasing to verify his understanding of Wendi's statement. Paraphrasing involves restating a message in other words to confirm the message recipient's understanding. To use paraphrasing effectively, the message recipient must actively listen to the speaker's message. Paraphrasing does not involve expressing an opinion. Quoting involves reciting or writing a thought, idea, or statement using the speaker's exact words. https://www.mindtools.com/CommSkll/ActiveListening.htm",Communication Skills,1,medium
Which of the following statements has been edited properly:,"Roger's weekly sales-volume quota are $8,500.",Primary sources may be difficult to find.,Carole is developing a prodect analysis sheet.,"Frank, Gus, and Bob is taking a client out to lunch.",B,"Primary sources may be difficult to find. The writing process typically involves several steps: prewriting, drafting, revising, editing, and publishing. During the editing step, the writer or copyreader should review what has been written to determine if it meets certain criteria to be published and/or shared with others. These criteria include proper sentence structure, appropriate grammar and punctuation, correct spelling, etc. ""Primary sources may be difficult to find"" is the only statement that is properly structured, contains appropriate grammar and punctuation, and is spelled correctly. The word ""quota"" is singular, so ""Roger's weekly sales-volume quota are $8,500"" contains an incorrect verb (the verb should be ""is,"" not ""are""). In the statement ""Carole is developing a prodect analysis sheet,"" the word ""prodect"" is spelled incorrectly (the correct spelling is ""product""). The phrase ""Frank, Gus, and Bob"" is a plural subject, so the wrong verb is used in the predicate of the sentence (the verb should be ""are"" instead of ""is""). https://www.dailywritingtips.com/the-writing-process",Communication Skills,2,easy
Which of the following is a true statement about writing professional email messages:,The subject line should concisely describe the topic of the message.,It is appropriate to use all capital letters when the message is urgent.,"Because email is an informal communication method, greetings are unnecessary.",It is acceptable to use texting acronyms because most businesspeople understand them.,A,"The subject line should concisely describe the topic of the message. Because businesspeople typically receive many email messages every day, it is important to make sure that the message's subject line contains concise information about the message's content. The subject line is the first thing that message recipients see to determine if the message is important enough to read. To convey a sense of professionalism, it is essential to use correct spelling, grammar, and punctuation when writing any type of business correspondence; therefore, message senders should avoid using texting ""language"" or acronyms (e.g., writing ""IMHO"" instead of ""in my humble opinion"") in email messages. It is polite to open an email message with a greeting. Message senders should avoid using all capital letters in an email message because doing so suggests anger or hostility. https://www.businessemailetiquette.com/business-email-etiquette-basics BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 4",Communication Skills,2,easy
A supervisor emails their staff members to inform them about a meeting they must attend next Tuesday. This is an example of,lateral interaction.,downward communication.,external networking.,invasive messaging.,B,"Downward communication. When management sends messages to lower-level employees, it is often called downward communication. External networking is communicating with people or businesses outside the company. Lateral interaction (communication) occurs between employees or coworkers at the same level, such as two customer service representatives or two assistant buyers. Invasive messaging is a fictitious term. Retrieved August 17, 2022, from https://www.indeed.com/career-advice/careerdevelopment/downward-communication",Communication Skills,2,easy
"The supervisor has given John directions for several new job tasks. To follow the directions effectively, John should first confirm",in what order to do the tasks.,USINESS ADMINISTRATION CORE EXAM 3,why the tasks need to be done.,who will be working with him.,A,"In what order to do the tasks. For employees to follow directions effectively, it is important for them to understand not only what needs to be done but in what order. In most cases, there are assignments that take precedence over others. Asking why the tasks need to be done and who will help with them are inappropriate questions. Whether the tasks will be part of the regular duties may depend upon the way in which they are carried out. August 31, 2022, from https://thinkx.net/blog/5-steps-to-giving-and-following-instructions-in-theworkplace",Communication Skills,2,hard
A business letter that has easy-to-understand information is said to have,consensus.,clarity.,courtesy.,caution.,B,"Clarity. Communication that is expressed clearly is described as having clarity. Caution is carefully stating a point to avoid conflict or misunderstanding. Courtesy involves the use of tact and consideration, while consensus is group opinion. https://www.xerox.com/en-us/small-business/tips/business-letter",Communication Skills,2,medium
Which of the following is a guideline for effective verbal communication:,Try to avoid eye contact,Keep the voice at the same pitch,Use speech mannerisms,Use gestures for emphasis,D,"Use gestures for emphasis. Appropriate gestures can help emphasize the point the speaker wants to make, and they are an important part of effective verbal communication. Speech mannerisms are distracting to listeners and should be avoided. The tone of the voice should be modulated, or changed, to prevent the speaker from sounding monotonous. Eye contact with listeners is important in maintaining communication and making them feel the speaker is addressing them personally. August 17, 2022, from https://oureverydaylife.com/the-importance-of-verbal-non-verbalcommunication-5162572.html",Communication Skills,2,easy
A magazine advertisement is an example of,a brand promise.,a touchpoint.,word-of-mouth marketing.,publicity.,B,"A touchpoint. A touchpoint is any interaction between a business and a customer or potential customer. The sum of the touchpoints that a customer experiences becomes the company's communication of its brand promise to that customer. Advertisements, publicity (unsponsored mentions of the brand or business in the news), and word-of-mouth marketing (what other customers are saying) are all examples of touchpoints that occur before a customer does business with a company. A brand promise is the specific benefit that customers can expect from using the good/service and interacting with the company. BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 5",Customer Relations,2,easy
It is easier for employees to develop positive customer/client relations if employees understand that each customer is,a possible problem.,like most others.,in a hurry.,a unique individual.,D,"A unique individual. Each individual customer has their own basic personality, and they react in different ways to salespeople. Employees should be friendly and courteous to all and adapt to each customer's behavior in a positive manner. Considering each customer as a possible problem is a negative approach that would probably prevent good customer relations. Not all customers are in a hurry.",Customer Relations,2,easy
"As employees go about their daily activities, their actions should be driven by whether the actions will",be witnessed by customers.,result in additional sales.,bring them personal fulfillment.,result in customer satisfaction.,D,"Result in customer satisfaction. Making customers feel important is a goal of demonstrating a customer service mindset. Customers should feel welcome and that their satisfaction is important to everyone concerned. By focusing on the customers' needs, employees can increase sales and, in most cases, bring themselves personal fulfillment. The customer service mindset should be practiced by all employees regardless of whether employees have direct contact with customers.",Customer Relations,2,easy
Gillian is a customer service associate for a small retailer. Which of the following would be an effective method for Gillian to prepare herself to handle customer inquiries:,Learn how to transfer calls to upper management,Learn how to refer customers to online support forums,Become knowledgeable about local restaurants and entertainment,Become knowledgeable about her company's products and policies,D,"Become knowledgeable about her company's products and policies. Customers typically expect company representatives to be knowledgeable about the company's products and policies. Therefore, an important way for Gillian to gain a customer's trust is to answer the customer's inquiries about products and policies appropriately and correctly. Becoming knowledgeable about local restaurants and entertainment may help in customer relationships but is not as important as knowing about the company you work for. Transferring calls to upper management is not the best way to handle customer inquiries. You should do everything you can to assist the customer. If needed, you can seek the answer from upper management yourself and not transfer calls to them. Online support forums are a great way for customers to find information. However, if they have made an inquiry to you, it is important that you try to find the answer and not simply direct them to find the answer themselves. ed.) [pp. 36-37]. Boston, MA: Cengage Learning, Inc.",Customer Relations,2,easy
"Some customers give the true reason for making a complaint, while others hide the true reason. In which of the following situations is the customer giving the true reason:",Requesting a different style of shoes when the main concern is price,USINESS ADMINISTRATION CORE EXAM 4,Saying an appliance doesn't work when it was actually dropped,Returning a carton of milk because it has an expired freshness date,D,"Returning a carton of milk because it has an expired freshness date. In this situation, the customer is expressing the true reason for the return. The other alternatives are examples of complaints in which the customer is concealing the true reason for the return/complaint.",Customer Relations,3,easy
Which of the following does consumption rely on to provide goods and services:,Deciders,Owners,Producers,Consumers,C,"Producers. Producers are the people who make or provide goods and services. Consumption relies on producers to provide goods and services. The relationship between consumption and production needs to be balanced so that enough goods and services are produced to satisfy consumers' wants, but not so many that producers lose money. A consumer is anyone who uses goods and services. Owners have possession of their resources. Deciders make decisions. BUSINESS ADMINISTRATION CORE EXAMâ€”KEY 6",Economics,3,easy
One reason a country may have an ample supply of capital goods is because it is a leader in,world affairs.,electronics.,technology.,transfer payments.,C,"Technology. Technology is scientific applications to business objectives or the methods used to attain those objectives. Capital goods reflect the state of technology that exists in a society. Societies such as the United States, which is the leader in technology, generally have the most up-to-date capital goods. Electronics is one form of technology. The fact that a country is a leader in world affairs does not ensure its supply of capital goods. Transfer payments are payments made by the government for which no goods or services are received.",Economics,3,easy
Some energy companies offer free electricity at night and on weekends because during those times,supply and demand are equal.,the substitution effect occurs.,demand is greater than supply.,supply is greater than demand.,D,"Supply is greater than demand. When this situation exists, producers will lower their prices to sell excess supply. For example, since fewer customers use electricity at night and on weekends, energy companies waive the cost for evening and weekend energy usage to increase demand for their service. The substitution effect is a phenomenon that occurs when changes in relative prices cause buyers to replace the purchase of one product with another.",Economics,3,easy
Which of the following is an example of an uninsurable risk:,Business interruption,Customer buying habits,Fire,Personal injury,B,"Customer buying habits. Buying habits can change quickly and for many unpredictable reasons; therefore, insurance companies will not assume risk coverage. The other alternatives are considered insurable risks that can be covered by various types of insurance policies.",Economics,3,easy
Why are better trained and educated workers often more productive?,They are more likely to become managers.,They tend to have a higher gross domestic product per capita.,They are less likely to take vacation and sick days.,They tend to be more organized and able to manage their time wisely.,D,"They tend to be more organized and able to manage their time wisely. Better trained and educated workers are often more productive and efficient because they are more organized, better able to manage their time, more willing to adapt, and more creative. Being more likely to become a manager doesnâ€™t cause a person to be more productive. Nearly all employees take vacation and sick days at some point. Gross domestic product per capita is the average productivity of individual workers within an entire nation. It is not the measure of one specific personâ€™s productivity.",Economics,3,easy
