Question,A,B,C,D,Correct,Explanation,Finance,Assessment,Difficulty
"When looking at a personal budget, which of the following is an example of something that may be included as an expense:",Interest payment in savings account,Cash birthday gift,Bi-weekly paycheck,Rent and utilities,D,"Rent and utilities. A budget is an estimate of income and expenses for a specific period of time. Income is money received by a business or an individual from outside sources, while an expense is money that a business or individual spends. Rent and utilities are money that a business or individual spends. Bi-weekly paychecks, interest payments in savings accounts, and a cash birthday gift are all examples of potential incomes that could be included on a budget. 2022, from https://www.investopedia.com/terms/b/budget.asp",Financial Analysis,3,medium
Lyla recently earned her doctorate and wants to meet with a financial advisor to map out her financial future. Which of the following steps should she do first:,Determine what type of financial advisor she needs,Understand how financial advisors are compensated,Check for complaints about the financial advisor,Make sure the financial advisor has reputable credentials,A,"Determine what type of financial advisor she needs. Before she starts researching individual financial advisors, Lyla needs to determine what type of financial advisor she needs. There are many types of financial advisors that have different focusesâ€”financial planning services, investments, retirement income planning, wealth accumulation, etc. To find the best financial advisor, Lyla needs to know what type of financial advice she needs and what services a potential advisor provides. Once she determines the type of financial advisor she needs, she can focus on finding an advisor with reputable credentials, understand how they are compensated, ask questions, check for complaints, learn how to spot fraud risks, and verify credentials, among other things. 2022, from https://www.thebalancemoney.com/how-to-find-the-best-financial-advisor-in-7-easysteps-4032070",Financial Analysis,3,medium
Which of the following best explains the overall purpose of accounting:,To control finances by keeping accurate financial information,To reduce financial uncertainty and make accidental loss manageable,To help a business make the most money possible,To identify external opportunities and threats,A,"To control finances by keeping accurate financial information. Accounting is the process of keeping financial records. Businesses cannot be successful and make good financial decisions unless they maintain control of their money. Thatâ€™s the overall purpose of accountingâ€”to control finances by keeping accurate financial information. Although accounting tracks a business's performance and helps it plan for the future, its overall purpose isn't necessarily to help a business make the most money possible. Identifying external opportunities and threats is the purpose of environmental scanningâ€”collecting information about the environment surrounding your business. Reducing financial uncertainty and making accidental loss manageable is the purpose of insuranceâ€”a contractual agreement in which one company (insurer) will pay for specified losses incurred by the other company (insured) in return for installment payments (premium).",Financial Analysis,3,easy
Which of the following is a consequence of noncompliance in the financial industry:,Improved communication,Audits and damaged reputation,Rule violation prevention,Protection from lawsuits,B,"Audits and damaged reputation. Noncompliance refers to when a business or organization fails to fulfill its compliance requirements and responsibilities. There are several consequences a business may face for noncompliance, including audits, damaged reputation, financial penalties, suspension or termination of the business, and even imprisonment. A company that is guilty of noncompliance is susceptible to audits, which will draw closer inspection of a business's processes and financials. In addition, noncompliance can hurt customer and investor confidence and can make lenders wary of providing financing to the business, all of which can hurt the business's reputation. Rule violation prevention, protection from lawsuits, and improved communication are benefits of compliance in the finance industry. December 27, 2022, from https://www.corpnet.com/blog/the-consequences-of-noncompliance-inbusiness",Business Law,3,medium
"To calculate the future value of money, you need the present value, the length of time, and the",interest rate.,wage.,utility.,bottom line.,A,"Interest rate. The future value of money is calculated by the equation FV = PV Ã— (1 + i) n where â€œFVâ€ is future value, â€œPVâ€ is present value, â€œiâ€ is the interest rate, and â€œnâ€ is the period of time. The bottom line is the net income of a business or the net result of a project or event. Utility and wage are business terms that are not relevant to the calculation of the time value of money. 2023, from https://www.investopedia.com/articles/03/082703.asp",Financial Analysis,4,easy
Which of the following statements about financial statements is true:,They don't include a cash flow statement.,They include a mission statement.,They communicate an entity's financial activities.,They are presented in an unstructured manner.,C,"They communicate an entity's financial activities. A financial statement is a summary of accounting information. A key component of accounting, financial statements are essentially records that show a businessâ€™s financial activities. Financial statements are presented in a structured manner, with conventions accepted by regulatory and accounting personnel. A financial statement typically includes four components: a balance sheet, an income statement, a cash flow statement, and a statement of changes in equity. They do not include a mission statement. https://www.coursehero.com/study-guides/boundless-finance/introducing-financial-statements",Financial Analysis,4,medium
Which of the following is an external source of corporate information that can aid an organization in understanding securities:,Sales reports,Customer records,Accounts receivable,Investment research firms,D,"Investment research firms. In financial terms, a security is a fungible and negotiable financial instrument that has monetary value of some sort. External sources of corporate information that can aid an organization in understanding securities include investment research firms, analysts, news sources, and magazines. Sales reports, customer records, and accounts receivable (the payments a business receives) are all examples of an organization's internal data. https://smallbusiness.chron.com/internal-sources-finance-firm-can-utilize-74895.html",Financial Analysis,4,hard
"If you want to find out the greatest price at which a stock was traded over the last year, what part of the stock table would provide this information?",52-week high,Ask price,Dividend yield,52-week low,A,"52-week high. If you want to find out the highest price at which a stock was traded over the last year, you will need to look at the 52-week high, which is the highest price at which a stock has traded over the last 52 weeks. The 52-week low is the lowest price at which a stock has traded over the previous 52 weeks. The dividend yield is the percentage paid out per share on an annual basis relative to the share price. The ask price refers to the price a seller is willing to accept for a security. from https://www.disnat.com/en/learning/trading-basics/stock-basics/how-to-read-a-stock-tablequote",Financial Analysis,4,medium
"When looking at a particular stock on a stock table, what information does the volume section provide?",The ratio between the stock's price and the company's earnings,The lowest price of the stock in the last 52 weeks,The amount of shares of the stock that were traded in that day,The change in the stock's price from the previous day's closing price,C,"The amount of shares of the stock that were traded in that day. The volume section of a stock table refers to the amount of shares of the stock that were traded in that day. For example, if only 75 shares are traded in a day, the trading volume is 75. The lowest price of the stock in the last 52 weeks is the 52-week low. The ratio between the stock's price and the company's earnings is the price-to-earnings ratio. The change in the stock's price from the previous day's closing price is the net change. https://www.dummies.com/article/business-careers-money/personal-finance/investing/investmentvehicles/stocks/how-to-read-a-stock-table-198363",Financial Analysis,4,medium
Which of the following statements about commercial banks is true:,They are only available online.,They do not offer credit cards.,They are owned and operated by members.,They offer checking and savings accounts.,D,"They offer checking and savings accounts. A commercial bank is a full-service bank offering a variety of banking services including checking and savings accounts, secured and unsecured loans, installment credit, and bank credit cards. Commercial banks typically offer online banking options for their consumers, but they are not limited to online banking. Internet banks are banks that offer the same products and services as conventional banks, but they do so through online platforms rather than brick-and-mortar locations. A credit union is created, owned, and operated by its members. 2023, from https://www.investopedia.com/ask/answers/061615/what-are-major-categories-financialinstitutions-and-what-are-their-primary-roles.asp",Financial Analysis,4,medium
An insurance company is different from a bank in that an insurance company,insures its customers against certain risks.,accepts short-term deposits and makes long-term loans.,is part of a centralized clearing and payment system.,is not considered a financial institution.,A,"Insures its customers against certain risks. An insurance company is a financial institution that insures it customers against certain risks. In return for the insurance of these risks, such as a car accident or house fire, their customers pay regular insurance premiums. Banks and insurance companies are both considered financial institutions. Banks, not insurance companies, accept short-term deposits and make long-term loans. Banks are part of a centralized clearing and payment system, whereas insurance companies are not. January 3, 2023, from https://www.investopedia.com/articles/personal-finance/070715/insurancecompanies-vs-banks-separate-and-not-equal.asp",Financial Analysis,4,easy
Which of the following statements about the equity market is true:,Equity investments typically involve less risk than debt securities.,It is where investors and traders buy and sell stock.,Stocks are the most common form of debt investment.,It is where investors and traders buy and sell bonds.,B,"It is where investors and traders buy and sell stock. The equity market, also known as the stock market, is the market in which stocks are bought and sold. The debt market, also known as the bond market, is where investors and traders buy and sell bonds. Equity investments typically involve more risk than debt securities, as the equity market is viewed as inherently risky while having potential to lead to a high return on other investments. Bonds, rather than stocks, are the most common form of debt investment. commodities markets, etc.) Retrieved January 3, 2023, from https://www.investopedia.com/ask/answers/071415/what-aredifferences-between-debt-and-equity-markets.asp",Financial Analysis,4,medium
Which of the following best represents what happens in the spot market:,Creation and sale of new securities,Trade of financial instruments for immediate delivery,Delivery of an asset and funds at a future date,Purchase and sale of loans,B,"Trade of financial instruments for immediate delivery. The spot market is where financial instruments are traded for immediate delivery. Financial instruments can include commodities, securities, and currencies. A futures market is based on the delivery of an asset and funds at a future date. A primary market is where securities are created, while a secondary market is where those securities are traded by investors. The debt market, also known as the bond market, is where investors and traders buy and sell bonds. commodities markets, etc.) January 3, 2023, from https://www.investopedia.com/terms/s/spotmarket.asp 0",Financial Analysis,4,easy
"If a company is looking to consolidate, it will __________ its assets.",combine,destroy,increase,sell,A,"Combine. Consolidation refers to combining the assets, liabilities, and other financial items of two or more entities into one. In financial accounting, consolidation refers to the combining of financial statements of more than one company for a parent companyâ€™s report. Increasing, destroying, and selling assets is not the goal of consolidation. January 4, 2023, from https://www.investopedia.com/terms/c/consolidate.asp",Financial Analysis,4,medium
Which of the following are two indicators of a recession:,Sales rise and income falls,Sales fall and production rises,Production and employment fall,Employment and income rise,C,"Production and employment fall. Business cycles are periods of expansion and contraction (or recession) in economic activities. A recession is a state of economic decline, which sees production, employment, income, and sales fall. A recession begins when an expansion peaks (or ends). A recession ends at the end of the trough of the business cycle, where the next expansion begins. An expansion is characterized by increased spending and borrowing, increased demand for goods and services, increased employment rates, and decreased interest rates on loans. This all leads to rises in production, employment, income, and sales. January 4, 2023, from https://www.investopedia.com/terms/b/businesscycle.asp",Financial Analysis,5,easy
"After 10 years of working for the same company, Marco was recently laid off due to budget cuts. Since then, he has struggled to find a new job. Which of the following is a result of Marco being unemployed:",Less disposable income for his family,Greater contribution to the economy,Less work for his former colleagues,Greater purchasing power,A,"Less disposable income for his family. The unemployment rate is the percentage of the labor pool that is currently seeking but unable to find work. When workers are unemployed, they and their families lose wages and, thus, have less disposable income. As a result of decreased disposable income, the overall economy loses contribution to the economy in terms of goods and services that could have been purchased. Unemployed workers also have less purchasing powerâ€”the financial ability to buy products and servicesâ€”due to not having a reliable source of income. When a company lays off an employee, the workers that remain with the company typically will have to make up for the work that was previously done by the laid off employee. 2023, from https://www.investopedia.com/articles/economics/10/unemployment-rate-get-real.asp",Financial Analysis,5,hard
Which of the following factors can lead an investor to develop a home bias:,Fewer barriers to entry in foreign markets,Higher risk associated with international investing,Less availability of domestic investments,Better familiarity with foreign markets,B,"Higher risk associated with international investing. Home bias refers to an investor's preference to invest mainly in domestic equities while ignoring the benefits of diversifying into foreign equities. There are several factors that can lead an investor to favor domestic investments. One of these factors is that there is higher risk associated with international investing. This is because investors with home bias tend to stick with investments with which they're familiar and comfortable. Other factors that can lead an investor to develop a home bias include greater availability of domestic investments, unfamiliarity with foreign markets, lack of transparency, and greater barriers to entry in foreign markets, among others. Less availability of domestic investments, better familiarity with foreign markets, and fewer barriers to entry in foreign markets are not reasons an investor may develop a home bias. https://www.investopedia.com/terms/h/homebias.asp 1",Financial Analysis,5,easy
Which of the following sentences about equity statements is true:,Companies need to prepare them once a month.,Companies are not required to prepare them.,Using them typically increases a companyâ€™s equity.,They report changes in a company's equity.,D,They report changes in a company's equity. An equity statement (also known as a statement of ownerâ€™s equity or statement of changes in equity) is a financial statement that reports changes in a company's equity. Companies are required to prepare equity statements along with other important financial documents at the end of the financial year. Equity statements are not a monthly responsibility of companies. Using equity statements will not increase the equity of a company. from https://corporatefinanceinstitute.com/resources/accounting/equity-statement,Financial Analysis,5,medium
Which of the following is the formula used to calculate retained earnings:,Beginning period retained earnings âˆ’ Net income (or loss) + Net dividends,Beginning period retained earnings + Net income (or loss) âˆ’ Net dividends,Capital expenditures + Net income (or loss) âˆ’ Net dividends,Operating cash flow âˆ’ Capital expenditures + Net income (or loss),B,"Beginning period retained earnings + Net income (or loss) âˆ’ Net dividends. Retained earnings are the cumulative net profits of a company after accounting for dividend payments. Retained earnings are calculated by adding net income to (or subtracting net losses from) the beginning period retained earnings then subtracting any net dividend(s) paid to shareholders. Net dividends usually refer to cash dividends or stock dividends. The formula looks like: Retained earnings = Beginning period retained earnings + Net income (or loss) âˆ’ Net dividends. Subtracting capital expenditures from operating cash flow calculates free cash flow. Capital expenditures and operating cash flow are not used when calculating retained earnings. Retrieved January 5, 2023, from https://www.investopedia.com/terms/r/retainedearnings.asp",Financial Analysis,5,easy
Which of the following is considered a direct cost:,Raw materials,Rent,Office supplies,Utilities,A,"Raw materials. A direct cost is an expense that a company can connect to a specific cost objective, such as a product, project, or contract. Raw materials and labor costs are each considered direct costs. Utilities, rent, and office supplies are each considered indirect costs, which are expenses involved with maintaining and running a company. cost, differential cost, etc.) different? Retrieved January 9, 2023, from https://www.businessnewsdaily.com/5498-direct-costsindirect-costs.html",Financial Analysis,5,medium
"A large corporation decides to close one of its branches. The previous costs of running that branchâ€”including rent, utilities, and equipmentâ€”would all be considered __________ costs.",appraisal,employment,avoidable,mixed,C,"Avoidable. Avoidable costs are costs that can be eliminated by no longer engaging in a certain business or operational activity. In this case, the corporation is eliminating the costs previously associated with running the closed branch. Mixed costs are costs that are fixed until the company reaches a certain level of production. While it is possible that the costs associated with the branch could have become variable given a certain degree of productivity, the fact that these costs have been eliminated indicates that they are more likely avoidable costs. Appraisal costs are the costs associated with inspecting and catching defective products as quickly as possible. Employment costs are the costs associated with compensating employees for their work. cost, differential cost, etc.) https://www.accountingtools.com/articles/what-is-an-avoidable-cost.html 2",Financial Analysis,5,medium
Which of the following statements about marginal analysis is true:,Marginal cost is often equal to fixed costs.,The goal is for costs to outweigh benefits.,It is not necessary when looking to expand.,Companies use it to maximize profits.,D,"Companies use it to maximize profits. A marginal analysis compares the additional benefits and the additional costs of a specific activity. Companies use marginal analysis as a decision-making tool to help them maximize their potential profits. The goal of a marginal analysis is to determine if the costs associated with an activity will lead to a benefit that is great enough to offset them. Essentially, companies hope that either the costs of an activity equal the benefits, or the benefits outweigh the costs. When a company is looking to expand its operations, a marginal analysis of the costs and benefits is necessary. To perform a marginal analysis, companies should first understand the fixes and variable costs. Due to fixed costs not being likely to change, the marginal cost is often equal to variable expenses. Retrieved January 9, 2023, from https://www.investopedia.com/terms/m/marginal-analysis.asp",Financial Analysis,5,easy
The goal of marginal analysis should be to ensure that,marginal revenue exceeds marginal cost.,opportunity cost equals marginal revenue.,marginal cost equals opportunity cost.,marginal cost exceeds marginal revenue.,A,"Marginal revenue exceeds marginal cost. The primary purpose of marginal analyses is to make sure that businesses are profiting. Businesses profit when their marginal revenue (the increase in revenue that results from the sale of an additional unit of output) is greater than the marginal cost (the costs required to produce an additional unit of output). If marginal cost exceeds marginal value, then the company is taking a loss on the production of that good or service. Opportunity costs are the gains or benefits that are lost when a business decides not to invest resources into a certain activity or product. If the opportunity costs are at the same level as marginal revenue or marginal cost, then the company is likely not profiting from that endeavor. Retrieved January 10, 2023, from https://www.investopedia.com/terms/m/marginal-analysis.asp",Financial Analysis,5,easy
"As opposed to financial accountants, managerial accountants primarily",hire externally.,report externally.,hire internally.,report internally.,D,"Report internally. While financial accounting is mainly focused on reporting financial transactions to outside entities such as investors, lenders, and governing organizations, managerial accounting is focused on reporting financial information internally to aid decision-making. Managerial accountants do not play a significant role in the hiring of employees, regardless of whether they are internal or external hires. https://corporatefinanceinstitute.com/resources/accounting/managerial-accounting/",Financial Analysis,5,hard
Which of the following is most likely to impact a companyâ€™s corporate governance:,Suppliers,Board of directors,Global citizens,Auditors,B,"Board of directors. A companyâ€™s corporate governance is the system by which directors handle their responsibility toward shareholders. There are many factors that impact corporate governance structures, such as company size, company bylaws, and the influence of those on the board of directors (a group of people chosen to govern the activities of a corporation). Suppliers (businesses from which other businesses buy goods or services), auditors (accountants who verify financial data), and global citizens (those whose identity transcends political borders) are not likely to greatly impact a companyâ€™s corporate governance. examples. Retrieved December 21, 2022, from https://www.investopedia.com/terms/c/corporategovernance.asp 3",Professional Development,6,easy
"Shemar is doing a quantitative study into the difference between planned and actual behavior. In other words, he is conducting a(n) __________ analysis.",environmental,break-even,cash flow,variance,D,"Variance. Variance is the difference between a budgeted or planned amount and an actual amount. Businesses often conduct variance analyses when they want to identify the causes of disparities in planned and actual costs or revenue. A cash flow analysis is the process of determining the amount of cash a business has to work with at any given time. A break-even analysis is a study that determines the level at which revenues equal total costs. An environmental analysis is the study of external forces that influence a businessâ€™s success. While these other studies are relevant to financial analyses, they are not related to the identification of differences between planned and actual behavior. https://www.accountingtools.com/articles/what-is-variance-analysis.html",Financial Analysis,6,hard
Cost accounting is an activity used mainly in __________ accounting.,managerial,forensic,financial,electric,A,"Managerial. Cost accounting is the process of assessing variable and fixed costs with the goal of determining a companyâ€™s cost of production. This activity operates within a business and is mainly for internal use. Therefore, it is a form of managerial accounting, which is the preparing and reporting of financial data to internal users in order to make operational and business decisions. Financial accounting is the preparation and reporting of financial data to external users who are not directly involved in business operations. Cost accounting is meant for users who are directly involved in business operations; therefore, it does not fall in this category. Forensic accounting is a type of accounting used for investigating financial crimes. Electric accounting is not a real type of accounting. January 11, 2023, from https://www.investopedia.com/terms/c/cost-accounting.asp",Financial Analysis,6,hard
Companies that effectively allocate costs,improve short-term and hurt long-term decision-making.,increase profits and expenses.,spread costs among departments.,determine one department to cover all costs.,C,"Spread costs among departments. Cost allocation refers to the process of identifying, assigning, and accumulating costs to a company's cost objects. Cost objects are any activity or item to which a company assigns costs, which can be a product or product line, a project, or a department. Cost allocation helps a company determine which parts of a business are responsible for which costs by spreading costs among departments (not just one department). This process can help a company make better-informed decisions, both in the short term and the long term. Companies that effectively allocate costs typically increase their profits and lower their expenses. They do this by determining which cost objects are most profitable. If a cost object is not profitable and is causing the business to pay more expenses, then the company would do further evaluations on it. https://corporatefinanceinstitute.com/resources/accounting/cost-allocation",Financial Analysis,6,easy
Employee payroll is an example of a(n) __________ cost.,direct,indirect,manufacturing,utility,B,"Indirect. Indirect costs are expenses that are not directly related to the production of a good or service, such as payroll, office supplies, or marketing campaigns. Direct costs are expenses that are directly related to a product or service. Manufacturing costs are expenses associated with the physical manufacturing of products sold, such as warehouse and machinery costs. Utilities are the charges for the use of electrical, gas, water, and waste services. https://www.accountingtools.com/articles/what-is-cost-allocation.html 4",Financial Analysis,6,medium
Which of the following is an advantage for a company that implements a financial management information system:,Decreased efficiency,Less capacity to plan,More inaccuracies,Better decision-making,D,"Better decision-making. An advantage for a company that implements a financial management information system is that it can lead to better decision-making. A financial management information system is used to help a business or organization meet its financial obligations. This includes accumulating financial data and analyzing it to help make better decisions. Information collected from a financial management information system is often timely, reliable, accurate, and verifiable, which helps make the decision-making process easier and faster. Other advantages of financial management information systems include improved planning, increased accuracy, increased efficiency, and easier integration process. Less capacity to plan, more inaccuracies, and decreased efficiency are not advantageous results of a financial management information system. system? Retrieved January 6, 2023, from https://smallbusiness.chron.com/benefits-financialmanagement-information-system-71943.html",Financial Management,6,hard
Which of the following statements about accounting information systems is true:,They typically avoid the use of internal controls.,They help a company's different departments work together.,"They use software, but not hardware, to store and retrieve data.",They collect data to be used only by accountants.,B,"They help a company's different departments work together. An accounting information system (AIS) is used by businesses to collect, store, manage, process, retrieve, and report financial data. An AIS helps different departments in a company work together. Although accountants use the data collected by an AIS, they aren't the only ones to use the data. Consultants, business analysts, tax agencies, chief financial offers, regulators, auditors, and managers also use the information. An AIS uses both hardware and software to store and retrieve data. An AIS does use internal controls, as they protect an AIS from computer viruses, hackers, and other threats. January 6, 2023, from https://www.investopedia.com/articles/professionaleducation/11/accountinginformation-systems.asp",Financial Management,6,medium
Following ethical financial accounting practices often leads to,receiving fines or sanctions.,maintaining public faith.,losing revenue.,pushing away investors.,B,"Maintaining public faith. Following ethical financial accounting practices often leads to gaining or maintaining public faith. Financial accounting ethics are used to ensure that accountants conduct their duties objectively and with integrity. Financial accounting ethics form the basis for legal and regulatory requirements. In fact, they include issues related to maintaining public trust. Companies that provide clear explanations about their accounting methods appear to be more ethical and trustworthy than those who do not provide such information. As a result, these companies are more likely to attract investors, rather than push them away. In addition, companies that follow ethical financial accounting are more likely to avoid fines and sanctions. Unethical or deceptive financial practices can lead to a company losing revenue. 2023, from https://smallbusiness.chron.com/advantages-financial-accounting-ethics-32960.html",Financial Management,6,medium
A financial organization is most likely to have which of the following standards in its code of ethics:,Share confidential information and data,Provide people with subjective information,Disclose positive and negative information,Welcome conflicts of interest,C,"Disclose positive and negative information. In financial management, the role of ethics is to balance, preserve, and protect stakeholders' interests. A typical standard found in a code of ethics in finance is to disclose positive and negative information. It is the responsibility of financial professionals to provide people with accurate, relevant, objective (not subjective), and understandable information. This relevant information includes positive and negative information in an effort to present the most accurate picture possible. Financial professionals should avoid conflicts of interest and should not share confidential information and data. 2023, from https://smallbusiness.chron.com/business-ethics-finance-manager-20490.html 5",Financial Management,6,medium
"By reviewing an income statement to see how every line item compares to revenue, Anna conducted a __________ analysis.",horizontal,vertical,break-even,SWOT,B,"Vertical. A vertical analysis is a financial analysis technique that reviews line items (such as those found on an income statement) as a proportion of revenue. In other words, analysis occurs by looking up and down (vertically) a financial document. A horizontal analysis is a financial analysis technique that looks at the yearover-year (YoY) change in each line itemâ€”looking left and right (horizontally) to conduct analyses. A SWOT analysis is a marketing tool that investigates a businessâ€™s strengths, weaknesses, opportunities, and threats. A break-even analysis is the process of determining the level at which revenues equal total costs. January 4, 2023, from https://corporatefinanceinstitute.com/resources/accounting/analysis-offinancial-statements/",Financial Management,6,medium
Which of the following statements about ethics and risk management is true:,Ethical risk management starts at the bottom.,Ethical codes of conduct can support and go above and beyond legal compliance.,Only management must be concerned about promoting ethics in risk management.,Itâ€™s helpful to reward unethical behavior.,B,"Ethical codes of conduct can support and go above and beyond legal compliance. People might be resistant to include ethics in risk management if they feel that it is just another set of rules that they must follow. One way to eliminate this barrier is to use ethical codes to not only meet legal requirements, but to also go above and beyond them. Risk management professionals are already focused on compliance with the law. If ethics support and encourage adherence to the spirit of the law, they will make compliance easier rather than complicating it. Itâ€™s helpful to reward ethical behavior. Ethical risk management starts at the top. Leaders need to set the precedent by acting ethically and encouraging the importance of ethics in risk management. That being saidâ€” the entire organization needs to be involved in promoting ethics in risk management. Risk management is most successful when everyone in an organization is informed and on board with the process.",Risk Management,7,medium
"By using a central data repository for financial information, companies receive",up-to-date data.,slower responses to queries.,less predictability.,inconsistent data.,A,"Up-to-date data. A central data repository is a singular storage location for all of an organization's data. Companies use central data repositories for their financial information because it provides benefits to consistency, collaboration, and visibility. Central data repositories have several benefits for companies, including keeping data up-to-date and consistent, faster responses to queries, better predictability, and improved analysis. Inconsistent data, slower responses to queries, and less predictability are not intended results of a central data repository. https://www.premier-international.com/articles/8-benefits-of-a-central-data-repository",Financial Management,7,medium
"Just before the beginning of the year, Audrey is working with a management team to develop a budget forecasting the revenues and expenses expected for the coming year. What type of budget is Audreyâ€™s company using?",Cash budget,Operating budget,Promotional budget,Long-term budget 0,B,"Operating budget. An operating budget helps companies forecast expected revenues and expenses for a period of time, often a year. Operating budgets are often developed by a management team just prior to the beginning of a determined fiscal period. There is no evidence Audreyâ€™s budget is a promotional budget, which outlines the amount of money a business plans to spend on promoting its goods and services during a certain period of time. A long-term budget typically covers a time period of more than a year, such as 3, 5, or 10 years. A cash budget looks specifically at cash inflows and outflows over a period of time, such as weekly, monthly, quarterly, or annually. https://www.accountingtools.com/articles/operating-budget 6",Financial Management,7,hard
"Nathan develops a budget for his business and runs it past the different members of his management team. He wants to make sure they understand and agree with its details before implementation, because this will help the company coordinate its efforts to meet financial goals. This example demonstrates the importance of __________ in the development of an effective budget.",rewards,accuracy,company-wide support,long-term motivation,C,"Company-wide support. A budget is an estimate of income and expenses for a specific period of time. Effective budgets should be realistic, empowering, motivating, coordinated, and supported by members across an organization. When a budget has company-wide support, it is more likely to be implemented effectively in different departments as they work toward shared company goals. This example does not demonstrate accuracy, motivation, or rewards. https://www.vacu.org/learn/financial-management/budgeting/10-characteristics-of-the-best-budgets",Financial Management,7,hard
Zach wants to better understand how his company compares to its competition. He intends to run financial analyses to compare the business practices and standards between firms in his industry. What strategy is Zach using?,Smishing,Benchmarking,Forecasting,Exporting,B,"Benchmarking. Benchmarking is a financial analysis tool that helps companies see how they compare to their competition in the same industry, using standardsâ€”or benchmarksâ€”as points of reference for comparison and evaluation. Financial forecasting uses a companyâ€™s historical performance data to predict its financial future. Exporting is the process of selling goods and services to individuals, businesses, or governments in other countries. Similar to phishing, smishing is an illegal activity that involves posing as a financial institution or other business and sending fraudulent text messages requesting personal information such as account numbers and passwords. https://www.wealthspire.com/financial-dictionary/benchmark/",Financial Management,7,hard
Which of the following statements about the use of technology in financial analysis is true:,Its use is declining within certain industries.,It is reserved for legal corporations.,It only supports outdated methodologies.,It helps inform and support decision-making.,D,"It helps inform and support decision-making. Financial analysis is the process of planning, maintaining, monitoring, controlling, and reporting the use of financial resources. The use of technology is instrumental in the facilitation of timely, efficient financial analysis because it helps companies organize and glean information from large sets of data. As a result, technology informs and supports decision-making by company leadership. The use of technology does not only support outdated methodologies and is not reserved for legal corporations, as technology is usedâ€”usually increasinglyâ€”in financial analysis by companies regardless of size or industry. 5, 2023, from https://www.techfunnel.com/fintech/financial-analytics/",Financial Management,7,medium
Which of the following methodologies focuses most on eliminating waste to maximize value:,Licensing,Six Sigma,Sustainability,Lean,D,"Lean. Lean production, often referred to simply as â€œlean,â€ is a quality-control method that focuses on maximizing customer value while minimizing waste. Six Sigma is a popular quality-management methodology that relies on a five-step approach to improve any business process. Lean Six Sigma is an offshoot of traditional Six Sigma methodology that nevertheless prioritizes waste elimination. Sustainability is the successful long-term management of an organizationâ€™s financial, social, and environmental risks, opportunities, and obligations. Licensing involves issuing a government permit that allows an individual or a business to function in the marketplace. activity-based costing [ABC], six sigma) January 5, 2023, from https://www.purdue.edu/leansixsigmaonline/blog/six-sigma-vs-lean-six-sigma/ 7",Financial Management,7,medium
A cell phone company is focusing its marketing efforts on communicating with customers and putting its products in an accessible location. What two marketing elements is the company prioritizing?,Promotion and product,Promotion and place,Place and price,Price and product,B,"Promotion and place. The cell phone company is prioritizing the marketing elements of promotion and place. Promotion is a marketing function needed to communicate information about goods, services, images, and/or ideas with customers to achieve a desired outcome. The company focusing its marketing efforts on communicating with others demonstrates the use of promotion. Place is focused on considerations in getting a selected product in the right place at the right time. The company focusing on putting its products in an accessible location demonstrates the use of the place marketing element. Product refers to what goods, services, or ideas a business will offer its customers, while price is the amount of money marketers will ask in exchange for their products. There arenâ€™t any indications that the cell phone company is using the product or price marketing elements.",Marketing,7,medium
Which of the following statements about creating a basic web page is true:,Finding a host for the page isn't necessary.,You should learn basic HTML code.,You will not need a web editor.,Previewing your page is a waste of time. 1,B,"You should learn basic HTML code. HTML is the building block of web pages, as it is the code that makes the web page work. A basic understanding of HTML will help you build and maintain your pages. You will need a web editor to build a web page, as you type HTML into the web editor. From there, you can build your page in the web editor and save it to a hard drive, where you will then upload your page to a host. A host is necessary, as a web page cannot exist without one. It is important to preview your web page before you save it and before you make the web page live, as you want to make sure there aren't any mistakes or inconsistencies on your page. https://www.thoughtco.com/how-to-build-a-web-page-3466384",Information Management,7,easy
"If you want to explore a topic in depth through a group discussion, which of the following procedures for obtaining information would you use:",Survey group,Focus group,Observation,Interview,B,"Focus group. A focus group is a group formed for the purpose of discussing a specific topic. Focus groups can be an efficient way to receive a range and depth of information in a short period of time. Observation, interviews, and surveys are other procedures that can be used for obtaining information, but none are necessarily conducted in a group discussion. A survey group is a fictitious term. September 12, 2022, from https://managementhelp.org/businessresearch/methods.htm",Information Management,7,medium
"When ethics are part of information management,",personal files can be corrupted.,personal privacy can be invaded.,piracy is more likely.,information is better protected.,D,"Information is better protected. Personal privacy is one of the main ethical issues in information management. When ethics are considered and followed in information management, it is more likely your information will be better protected. In addition, it is less likely your personal privacy will be invaded, your personal files will be corrupted, or piracy will occur. Invasion of personal privacy, piracy, and corruption of personal files are all unethical actions in information management. September 12, 2022, from https://www.geeksforgeeks.org/ethical-issues-in-information-technology-it 8",Information Management,8,medium
Data normalization involves creating a(n) __________ for all data within an organization.,anomaly set,search query,group command,standard format,D,"Standard format. Data normalization involves creating a standard format for all data within an organization. By standardizing the format of all data, businesses can conduct more accurate and efficient information analyses. Data normalization can also lead to more space being available within a database, faster answers to questions, and better segmentation. Data normalization does not typically involve creating a search query, group command, or anomaly set for all data within an organization. from https://www.bmc.com/blogs/data-normalization/",Information Management,8,medium
